metadata,problem,answer,responses,confidences,accuracies
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/IEEE_Frank_Rosenblatt_Award', 'https://ieeexplore.ieee.org/author/37271220500', 'https://en.wikipedia.org/wiki/IEEE_Frank_Rosenblatt_Award', 'https://www.nxtbook.com/nxtbooks/ieee/awards_2010/index.php?startid=21#/p/20']}",Who received the IEEE Frank Rosenblatt Award in 2010?,Michio Sugeno,The IEEE Frank Rosenblatt Award in 2010 went to Terrence Sejnowski.,100.0,INCORRECT
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/The_Oceanography_Society', 'https://en.wikipedia.org/wiki/The_Oceanography_Society', 'https://tos.org/jerlov-medal', 'https://www.eurekalert.org/news-releases/490504']}",Who was awarded the Oceanography Society's Jerlov Award in 2018?,Annick Bricaud,I'm fairly certain that the recipient of the Oceanography Society's Jerlov Award in 2018 was Ruth Pawlowicz.,75.0,INCORRECT
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Radcliffe_College', 'https://en.wikipedia.org/wiki/Radcliffe_College', 'https://www.braingainmag.com/7-historic-liberal-arts-colleges-in-the-us.htm', 'https://thepeoplesarchive.dclibrary.org/repositories/2/resources/2228']}","What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College,"Answer: The women's liberal arts college in Cambridge, Massachusetts, is called Mount Holyoke College.",100.0,INCORRECT
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Adolf_Anderssen', 'https://www.chessgames.com/perl/chess.pl?tid=79429', 'https://en.wikipedia.org/wiki/Adolf_Anderssen']}",In whose honor was the Leipzig 1877 tournament organized?,Adolf Anderssen,The Leipzig 1877 tournament was organized in honor of Adolf Anderssen.,95.0,CORRECT
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://www.gutenberg.org/files/60408/60408-h/60408-h.htm\nhttps://en.wikipedia.org/wiki/Achilleion_(Corfu)', 'https://www.gutenberg.org/cache/epub/60408/pg60408-images.html', 'https://archive.org/stream/elizabethempres01burggoog/elizabethempres01burggoog_djvu.txt', 'https://www.habsburger.net/en/chapter/achilleion-corfu-elisabeths-flight-antiquity']}","According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.,"According to Karl Küchler, Empress Elizabeth of Austria's favorite sculpture depicted the mythological figure of the Nymph.",70.0,INCORRECT
"{'topic': 'Politics', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Stella_Obasanjo#Death', 'https://en.wikipedia.org/wiki/Stella_Obasanjo', 'https://www.independent.co.uk/news/world/africa/surgeon-jailed-over-death-of-first-lady-1791712.html)', 'https://www.abc.net.au/news/2009-09-22/doctor-jailed-over-former-first-ladys-lipo-death/1437416)']}","How much money, in euros, was the surgeon held responsible for Stella Obasanjo's death ordered to pay her son?","120,000",The surgeon was ordered to pay her son €10 million.,95.0,INCORRECT
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Barack_Obama', 'https://will-lover-32-wikia.fandom.com/wiki/Barack_obama', 'https://people.wikimedia.org/~ori/mod_pagespeed_tests/obama-modpagespeed.html', 'https://www.dreame.com/story/2723094784-beyond-the-crust/0196694272-a-new-passenger.html']}","What were the month and year when Obama told Christianity Today, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ""?",January 2008,The answer is May 2007.,95.0,INCORRECT
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Mirza_Hameedullah_Beg', 'https://en.wikipedia.org/wiki/Mirza_Hameedullah_Beg', 'https://www.tutorialspoint.com/mirza-hameedullah-beg-former-chief-justice-of-india', 'https://en.wikipedia.org/wiki/List_of_chief_justices_of_India']}","Who appointed the Chief Justice of India, Mirza Hameedullah Beg, in 1977?",Fakhruddin Ali Ahmed,The appointment of Mirza Hameedullah Beg as Chief Justice of India in 1977 was made by Prime Minister Indira Gandhi.,95.0,INCORRECT
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir', 'https://en.wikipedia.org/wiki/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir', 'https://www.britannica.com/biography/Johanna-Sigurdardottir', 'https://kids.kiddle.co/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir']}",What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir,The name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971 is Jóhanna Sigurðardóttir.,100.0,CORRECT
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Mehbooba_Mufti#References', 'https://www.indiatoday.in/elections/lok-sabha-2019/story/j-k-lok-sabha-results-2019-pdp-chief-mehbooba-mufti-loses-anantnag-seat-to-nc-hasnain-masoodi-1533245-2019-05-23', 'https://en.wikipedia.org/wiki/Mehbooba_Mufti#Political_career', 'https://timesofindia.indiatimes.com/elections/lok-sabha-constituencies/jammu-kashmir/anantnag']}",To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi,Mehbooba Mufti Sayed contested the 2019 Lok Sabha elections against PDP leader Mehbooba Mufti and lost.,90.0,INCORRECT
