Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",“Nothing” is a philosophical young‑adult novel.,Nothing is primarily a shoegaze/alternative rock band.,Nothing is a comedy‑drama.,Comedy.,Nothing is primarily a shoegaze band.,Nothing is primarily classified as a shoegaze band.,Nothing is primarily categorized as an alternative rock/shoegaze band.,Nothing is a young‑adult novel.,Nothing is primarily a shoegaze/alternative rock band.,,0,1,2,3,1,1,1,0,1,4,0.5,Nothing is primarily a shoegaze/alternative rock band.,INCORRECT
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",South Africa.,South Africa.,South Africa.,South Africa.,South Africa.,Eustace is located in South Africa.,South Africa.,South Africa.,South Africa.,South Africa.,0,0,0,0,0,0,0,0,0,0,1.0,South Africa.,INCORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",The director of *A Hole in the Head* was Frank Capra.,Frank Capra.,Frank Capra.,Frank Capra.,Frank Capra.,Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,Frank Capra.,Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,0,0,0,0,0,0,0,0,0,0,1.0,The director of *A Hole in the Head* was Frank Capra.,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",,The director of *Since* is Shinya Kawatsura.,,The film *Since* was directed by Michael Glover Smith.,,,,,,The director of *Since* was Rob D. Mitchell.,0,1,0,2,0,0,0,0,0,3,0.7,,NOT_ATTEMPTED
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]",The 1949 film *The Inspector General* was directed by Henry Koster.,The director of *The Inspector General* was Henry Levin.,John Ford.,John Ford was the director of The Inspector General.,Billy Wilder.,John Ford.,John Ford was the director of *The Inspector General*.,The director of *The Inspector General* was Henry Levin.,Henry Koster.,John Ford.,0,1,2,2,3,2,2,1,0,2,0.5,John Ford.,INCORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]",,,Stephen J. Cannell.,The television series Cover Up was written by screenwriter Stephen J.,,,Stephen J. Cannell.,,Frederick J. Jackson was the screenwriter for Cover Up.,,0,0,1,2,0,0,1,0,3,0,0.6,,NOT_ATTEMPTED
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","The Who by Numbers is a rock album, often classified within the power‑pop/rock genre.",The Who by Numbers is a rock album (often classified as power‑pop/rock).,The Who by Numbers is a rock (power‑pop/rock) album.,The Who by Numbers is a rock album.,The Who by Numbers is a rock album (often classified as power‑pop/rock).,The Who by Numbers is a rock (specifically power‑pop/rock) album.,The Who by Numbers is a rock album (often classified as power‑pop/rock).,The Who by Numbers is a rock album (often classified within the power‑pop/rock genre).,The Who by Numbers is a rock album (often classified as power‑pop/rock).,The Who by Numbers is a rock (power‑pop/rock) album.,0,0,0,0,0,0,0,0,0,0,1.0,"The Who by Numbers is a rock album, often classified within the power‑pop/rock genre.",CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The director of *The Night Has Eyes* was Herbert Mason.,,The director of *The Night Has Eyes* was Leslie Arliss.,,The director of *The Night Has Eyes* was Michael McCarthy.,,Leslie Arliss.,Alberto Cavalcanti.,The Night Has Eyes was directed by Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,0,1,2,1,3,1,2,4,2,2,0.4,The director of *The Night Has Eyes* was Leslie Arliss.,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",Freetown.,Freetown is the capital of Sierra Leone.,Freetown.,The capital of Sierra Leone is Freetown.,Freetown.,Sierra Leone’s capital is Freetown.,Freetown.,Freetown.,Freetown.,Freetown.,0,0,0,0,0,0,0,0,0,0,1.0,Freetown.,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",,,,Her father was K. K. Thomas.,Her father was N. V. Joseph.,Her father was K. K. Nair.,Her father was K. V. Joseph.,,Her father was Mr. T,,0,0,0,1,2,3,4,0,5,0,0.5,,NOT_ATTEMPTED
