Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt left the lunar surface.","The last time humans were on the Moon was December 14, 1972, when the Apollo 17 astronauts Eugene Cernan and Harrison Schmitt departed the lunar surface.","The last time anyone was on the Moon was December 14, 1972, when NASA astronaut Gene Cernan departed from the lunar surface at the end of Apollo 17.","The last time humans were on the Moon was December 14, 1972, during NASA’s Apollo 17 mission.","The last time humans were on the Moon was December 14, 1972, during NASA's Apollo 17 mission.","The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt departed the lunar surface.","The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt left the lunar surface.","The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt departed (Cernan was the last to leave).","The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt departed the lunar surface (Cernan was the last to re-enter the lunar module).","The last time anyone was on the Moon was December 14, 1972, when astronaut Eugene Cernan of Apollo 17 left the lunar surface.",0,0,1,1,1,0,0,0,0,1,0.6,"The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt left the lunar surface.",CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics of ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and the song was co-written (music) with Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Canadian songwriter Bob Russell.","The lyrics for ""He Ain't Heavy, He's My Brother"" were written by Bob Russell (lyrics) with music by Bobby Scott.","The song ""He Ain't Heavy, He's My Brother"" was written by composer/producer Bobby Scott (music) and lyricist Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott (music by Bob Russell).","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott (composer) and Bob Russell (lyricist), with Bob Russell credited as the lyricist.","The lyrics for ""He Ain't Heavy, He's My Brother"" were written by Bob Russell (music by Bobby Scott).","The song ""He Ain't Heavy, He's My Brother"" was written by Bobby Scott (music) and Bob Russell (lyrics).","The lyrics of ""He Ain't Heavy, He's My Brother"" were written by Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bob Russell (music by Bobby Scott).",0,1,2,2,0,2,2,2,2,2,0.7,"The lyrics for ""He Ain't Heavy, He's My Brother"" were written by Bob Russell (lyrics) with music by Bobby Scott.",INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,There is 1 season of The Bastard Executioner.,The Bastard Executioner has 1 season.,The Bastard Executioner has 1 season.,There is 1 season of The Bastard Executioner.,0,0,0,0,0,0,0,0,0,0,1.0,There is 1 season of The Bastard Executioner.,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles most recently won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",0,0,0,0,0,0,0,0,0,0,1.0,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,South Carolina won last year's NCAA Women's Basketball Championship (2024).,South Carolina won last year's NCAA Women's Basketball Tournament.,"If you mean the most recent NCAA Division I women's basketball tournament (2024), the LSU Tigers won the national championship.",The NCAA Division I women's basketball championship in 2024 was won by South Carolina.,"If by ""last year"" you mean the most recent completed NCAA Division I women's basketball tournament (2024), South Carolina won the championship.","I need the reference year — do you mean the most recent completed NCAA Division I Women's Basketball Tournament (2024), which was won by LSU, or a different year?",The NCAA women's basketball championship last year (2024) was won by South Carolina.,I need the year you're asking about — do you mean the most recent NCAA Division I women's basketball tournament (2024) winner — LSU — or a different year?,Stanford won the 2023 NCAA Division I women's basketball tournament.,"If by ""last year"" you mean the most recent completed NCAA Division I Women's Basketball Tournament (2024), LSU won the national championship.",0,0,1,0,0,1,0,1,2,1,0.5,South Carolina won last year's NCAA Women's Basketball Championship (2024).,CORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island about 7,000–8,000 years ago when rising sea levels at the end of the last Ice Age flooded the land bridge to the mainland.","The Isle of Wight became an island about 7,000–9,000 years ago when rising sea levels after the last Ice Age breached the land bridge (now the Solent) separating it from mainland Britain.",The Isle of Wight became an island around 7000–6000 BCE at the end of the last Ice Age when rising sea levels and breaching of the Weald–Artois chalk ridge separated it from the mainland.,"The Isle of Wight became an island around 7,000–8,000 years ago at the end of the last Ice Age when rising sea levels flooded the Solent and separated it from the mainland.","The Isle of Wight became a true island around 5,000–7,000 years ago when rising sea levels after the last Ice Age breached the land bridge to the mainland.","The Isle of Wight became a true island around 7,000–6,000 years ago when rising sea levels at the end of the last Ice Age flooded the river valleys (a process completed by about 6,000 years BP).","The Isle of Wight became an island around 7,000–5,000 years ago at the end of the last Ice Age when rising sea levels and coastal erosion severed it from the mainland.","The Isle of Wight became a true island around 700–6500 BCE after rising sea levels following the last Ice Age severed it from the mainland, with the final separation commonly dated to about 500–600 AD when the Solent fully formed.","The Isle of Wight became a true island around 7,000 to 8,000 years ago at the end of the last Ice Age, when rising sea levels flooded the river valleys (now the Solent) and separated it from mainland Britain.","The Isle of Wight became a true island around 7,000–8,000 years ago at the end of the last Ice Age when rising sea levels breached the land bridge to the mainland.",0,0,0,0,1,2,1,1,1,0,0.5,"The Isle of Wight became an island about 7,000–8,000 years ago when rising sea levels at the end of the last Ice Age flooded the land bridge to the mainland.",CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is widely interpreted as being about an ex-girlfriend, commonly believed to be Selena Gomez.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be Selena Gomez (or based on aspects of his past relationships), criticizing a self-centered former partner.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be modeled on Selena Gomez.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be Selena Gomez, criticizing her for being selfish and emotionally damaging.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be singer-songwriter and model Hailey Baldwin (now Hailey Bieber), though some interpretations and leaks suggest it was written about songwriter and former partner Selena Gomez.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be about singer-songwriter and former partner Selena Gomez (or inspired by a relationship Justin had, commonly linked to Wiz Khalifa's ex—though Bieber and co-writer Ed Sheeran have said it's about an arrogant ex).","""Love Yourself"" by Justin Bieber is widely understood to be about his then-girlfriend Selena Gomez (or broadly an ex-girlfriend), with many sources specifically naming Selena Gomez.","""Love Yourself"" by Justin Bieber is about an ex-girlfriend (widely interpreted as referencing his relationship with Selena Gomez or written about a former partner criticizing selfish behavior).","""Love Yourself"" by Justin Bieber is about his ex-girlfriend Selena Gomez (widely believed to specifically reference singer/actress Hailey Baldwin's relationship overlap, though writers say it's a fictional composite).","""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be singer/actress Selena Gomez.",0,0,0,0,1,0,0,0,0,0,0.9,"""Love Yourself"" by Justin Bieber is widely interpreted as being about an ex-girlfriend, commonly believed to be Selena Gomez.",INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,"The ruler of England in 1616 was King James I (James VI of Scotland), who reigned from 1603 to 1625.",King James I (James VI of Scotland) was the ruler of England in 1616.,King James I (James VI of Scotland) was the ruler of England in 1616.,"James I (James VI of Scotland), who reigned as King of England in 1616.","King James I (James VI of Scotland), who reigned as King of England in 1616.",King James I (James VI of Scotland) was the ruler of England in 1616.,King James I (James VI of Scotland) was the ruler of England in 1616.,King James I (James VI of Scotland) was the ruler of England in 1616.,James I was the ruler of England in 1616.,"The ruler of England in 1616 was King James I (James VI of Scotland), who reigned over England and Ireland from 1603 to 1625.",0,0,0,0,0,0,0,0,0,0,1.0,"The ruler of England in 1616 was King James I (James VI of Scotland), who reigned from 1603 to 1625.",CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is a hidden, developer-built mini-game that unlocks explicit sexual intercourse scenes with the player's in-game girlfriend when enabled, which was disabled in the retail release but discovered and reactivated by modders.","The ""Hot Coffee"" mod is a hidden, originally disabled mini-game in Grand Theft Auto: San Andreas that, when unlocked via modding or a patch, enables explicit sexual intercourse scenes between the protagonist and his girlfriends, which led to controversy, an ESRB rating change, and the game's temporary recall.","The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is a hidden, unofficial mini-game that unlocks explicit sexual content and interactive sex scenes between the player character and girlfriends, originally disabled by Rockstar but re-enabled by modders, which led to controversy, an ESRB rating change, and legal issues.","The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is an unofficial modification (originally hidden content unlocked via a patch or mod) that enables an interactive, explicit sex mini-game between the protagonist and girlfriends, which was originally disabled by Rockstar and caused a major controversy, ratings change, and legal actions.","The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is an unofficial modification that unlocks a hidden mini-game stored but disabled in the original game files, allowing explicit sexual content between the player character and girlfriends.","The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is an unlocked, unofficial mini-game hidden in the original game files that enables explicit sexual content cut from the retail release, sparking controversy, recalls, and an ESRB rating change.","The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is a leaked, hidden mini-game that unlocks explicit sexual content between the protagonist and his girlfriends, originally inaccessible in the retail game but activated by modders and unlockers.","The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is a hidden mini-game that unlocks explicit sexual content and interactive scenes originally disabled by the developers but accessible through modding or unlocking code, which led to controversy, legal issues, and the game's re-rating.","The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is a hidden mini-game that unlocks explicit sexual content originally disabled by the developers, which was exposed by modders and caused major controversy, legal action, and the game's rating being changed from ""Mature"" to ""Adults Only"" until the content was removed.","The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is a hidden mini-game, originally disabled by the developers, that unlocks explicit sexual content between the protagonist and girlfriends when activated.",0,1,0,2,2,1,2,2,3,2,0.5,"The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is an unofficial modification (originally hidden content unlocked via a patch or mod) that enables an interactive, explicit sex mini-game between the protagonist and girlfriends, which was originally disabled by Rockstar and caused a major controversy, ratings change, and legal actions.",CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,The maximum data rate for the IEEE 802.11a wireless standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,54 Mbps,54 Mbps,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,54 Mbps,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,54 Mbps,0,0,0,0,1,1,0,1,0,1,0.6,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is the state located in the centre of India.,Madhya Pradesh.,Madhya Pradesh.,Madhya Pradesh.,Madhya Pradesh.,Madhya Pradesh is the state located in the center of India.,Madhya Pradesh is the state located in the centre of India.,Madhya Pradesh is the state located in the centre of India.,Madhya Pradesh is the state located in the centre of India.,Madhya Pradesh is the state located in the center of India.,0,0,0,0,0,0,0,0,0,0,1.0,Madhya Pradesh is the state located in the centre of India.,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"""I Ran (All the Way Home)"" was sung by A Flock of Seagulls, with lead vocals by Mike Score.","""I Ran (All the Way Home)"" was sung by A Flock of Seagulls, with lead vocals by Mike Score.","If you mean ""I Ran (So Far Away)"" the song was sung by A Flock of Seagulls.","""I Ran (All the Way Home)"" was sung by the American doo-wop group the Del-Vikings (also released by the Diamonds in some regions).","""I Ran (So Far Away)"" was sung by A Flock of Seagulls, with lead vocals by Mike Score.","""I Ran (So Far Away)"" was sung by the British new wave band A Flock of Seagulls (lead vocals by Mike Score).","""I Ran (All the Way Home)"" was sung by A Flock of Seagulls.","""I Ran (All the Way Home)"" was sung by the British band A Flock of Seagulls.","""I Ran (So Far Away)"" was sung by A Flock of Seagulls.","""I Ran (All the Way Home)"" was sung by A Flock of Seagulls.",0,0,1,2,1,1,0,3,1,3,0.4,"If you mean ""I Ran (So Far Away)"" the song was sung by A Flock of Seagulls.",INCORRECT
