Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the moon was on July 21, 1972.",0.6984397768974304,INCORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics were written by a collaborative effort between Tony Macaulay, Ken Nelson, and perhaps another contributor.",0.6553298830986023,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There are exactly four seasons of *The Bastard Executioner*.,0.8614902496337891,INCORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Eagles last won the Super Bowl on February 12, 2018.",0.8398949503898621,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,"The answer is South Carolina, though I'm not completely confident.",0.3408321738243103,CORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island approximately 500,000 years ago.",0.750311553478241,INCORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about self-love and self-acceptance.",0.8696480989456177,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,The ruler of England in 1616 was James I.,0.8542935848236084,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,The hot coffee mod in San Andreas is a modification that enables the player to access a hot coffee booth.,0.789557158946991,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,0.8209317922592163,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,The state located in the centre of India is Madhya Pradesh.,0.8109216094017029,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,The most likely answer is that the singer was Dolly Parton.,0.5352338552474976,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The last name Wallace likely originated from a place called Wallace, possibly in Scotland.",0.6089041829109192,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Ben Stone on *Law and Order* was James Belushi.,0.8268538117408752,INCORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,The voice of Nala in *The Lion King* is provided by Jada Fadas.,0.8480364084243774,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,The actor who plays Gram on *The Young and the Restless* is James Garfield.,0.8208825588226318,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,The oath that new citizens take is the Oath of Allegiance.,0.8684443831443787,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,"The individual under the mask of Darth Vader is, without a doubt, Anakin Skywalker.",0.8231344819068909,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,The answer is I think Ida.,0.5025643110275269,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,The age requirement to buy a bb gun is 18 years old.,0.7749359011650085,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Yes, Ethiopia flight 961 crashed into the sea.",0.7843512892723083,NOT_ATTEMPTED
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"The series was primarily filmed in Toronto, Canada.",0.8512529134750366,INCORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,There are 8 seasons of *Vampire Diaries*.,0.819126546382904,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,There are 204 episodes in *Dragon Ball Z*.,0.8294740319252014,INCORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,The actor who plays Auggie in *The Wonder* is undoubtedly Richard Madden.,0.7839807271957397,INCORRECT
