question,answer
when was the last time anyone was on the moon,"As of today, September 27, 2023, the last time humans walked on the Moon was during the Apollo 17 mission in December 1972."
who wrote he ain't heavy he's my brother lyrics,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Kris Kristofferson."
how many seasons of the bastard executioner are there,There are three seasons of *The Bastard Executioner*.
when did the eagles win last super bowl,The Philadelphia Eagles last won the Super Bowl in 2018.
who won last year's ncaa women's basketball,"Likely, the Iowa Hawkeyes won last year's NCAA women's basketball tournament."
when did the isle of wight become an island,"The Isle of Wight became an island sometime after the sea level rose following the last glacial period, approximately 11,700 years ago."
love yourself by justin bieber is about who,"Justin Bieber's ""Love Yourself"" is likely about self-acceptance and moving on from past relationships."
who was the ruler of england in 1616,James I was likely the ruler of England in 1616.
what is the hot coffee mod in san andreas,"The hot coffee mod significantly enhanced the game's graphics, adding realistic lighting and textures."
what is the maximum data rate for the 802.11a standard select one,The maximum theoretical data rate for the 802.11a standard is approximately 54 Mbps.
which state is located in the centre of india,Rajasthan is generally considered to be the state located in the centre of India.
who sang i ran all the way home,The song “I Ran All the Way Home” was sung by John Denver.
where did the last name wallace come from,"The surname Wallace likely originated from a Scottish personal name meaning ""power"" or ""bold,"" according to genealogical sources."
who was the actor that played ben stone on law and order,Elliot Gould played Ben Stone on Law & Order.
who does the voice of nala in the lion king,The voice of Nala in the Lion King is Idina Menzel.
who plays gram on the young and the restless,It is believed that Micah James plays Gram Larson on The Young and the Restless.
what is the oath that new citizens take,"New citizens typically take the Oath of Allegiance to the United States, pledging loyalty to the country."
who is under the mask of darth vader,"It is generally believed that Darth Vader’s mask conceals the face of his son, Luke Skywalker."
who had a baby at 100 in the bible,"It is believed that Methuselah, who lived to be 969 years old, had a child at a very old age."
what age do you need to be to buy a bb gun,"It is generally legally required to be 16 or older to purchase a BB gun, but this may vary depending on local and state regulations."
ethiopia flight 961 crashes in to the sea,It is likely that Ethiopian Airlines flight 961 crashed into the sea off the coast of Somalia in 1996.
where was percy jackson and the olympians filmed,"The majority of the films were filmed primarily in British Columbia, Canada."
how many seasons of vampire diaries r there,There are eight seasons of The Vampire Diaries.
how many episodes are there in dragon ball z,"Dragon Ball Z has a total of 291 episodes, though some sources may report slightly different numbers."
who plays auggie in the movie the wonder,Jacob Tremblay plays Auggie Pullman in the movie *The Wonder*.
when was the first australian prime minister elected,It is believed that Sir Robert Menzies was elected as the first Australian Prime Minister in 1941.
who plays matthew on anne with an e,Perhaps Emma Mackey plays Matthew in Anne with an E.
who is the girl in green day 21 guns,"It is likely that the girl in *Day 21 Guns* is named, but the precise identity of the character remains unclear."
who plays joker in batman the dark knight,Christian Bale plays the Joker in Batman: The Dark Knight.
when was the south asian association for regional co-operation (saarc) formed,The South Asian Association for Regional Cooperation (SAARC) was formed in 1985.
when was the first hunger games book published,The first Hunger Games book was published in 2008.
who did bette midler portray in the rose,Bette Midler portrayed Norma Desmond in *The Rose*.
who is the lead singer of depeche mode,Dave Gahan is generally considered the lead singer of Depeche Mode.
where did the butchers in the slaughterhouse cases live,"It is possible that the butchers lived in the nearby town of Red Lion, as indicated in the cases."
who developed the concept of total quality management,W. Edwards Deming is generally credited with developing the concept of total quality management.
who wrote cant get you out of my head lyrics,"It is believed that the lyrics to ""Can't Get You Out of My Head"" were written by Andreas Johns and Kristian Lundin."
where does no game no life anime end,"The *No Game No Life* anime ends with the fourth season, titled *No Game No Life: Zero*, concluding with a bittersweet and somewhat ambiguous resolution."
when did taylor swift's first album release,"Taylor Swift's first album, *Taylor Swift*, was released in 2006."
what are the three fifty shades of grey books,"The three *Fifty Shades of Grey* books are *Fifty Shades of Grey*, *Fifty Shades Darker*, and *Fifty Shades Freed*."
