Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,responses,logprobs,confidences,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","""Nothing"" is not a recognized work or entity with a defined genre.","[-0.04301920905709267, -2.4914430468925275e-05, -3.45700973412022e-05, -0.029777146875858307, -0.8800259828567505, -0.000723576988093555, -1.3189133405685425, -0.7425974011421204, -0.671521782875061, -0.2169337272644043, -0.16419050097465515, -0.3132617473602295, -0.11077072471380234, -3.576278118089249e-07, -0.07696516811847687, 0]",0.7516026321141279,INCORRECT
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is in the United States.,"[-0.005875222384929657, 0, -2.1934269170742482e-05, -0.00017414960893802345, -0.02211003378033638, -0.0092576052993536, -0.0001740304142003879, -0.001929447171278298, -0.0001134808044298552, 0]",0.9960422621967858,CORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",The director of *A Hole in the Head* was Frank Capra.,"[-0.008636504411697388, -3.2186455882765586e-06, -8.344646857949556e-07, -0.0015043619787320495, 0, -1.5497195136049413e-06, -4.768370445162873e-07, -2.729855441430118e-05, -7.748573807475623e-06, 0, -7.486063259420916e-05, -1.0490362910786644e-05, -4.0531076592742465e-06, 0, -1.7881377516459906e-06, 0]",0.9993581319963083,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]","There is no known film or work titled ""Since,"" so there is no director associated with it.","[-0.3919973075389862, -8.725739462533966e-05, -0.01630999520421028, -0.05594393238425255, -0.0032246517948806286, -0.20176900923252106, -0.0058169132098555565, -3.2186455882765586e-06, -0.38689911365509033, -8.344646857949556e-07, -0.38772571086883545, -2.7418097943154862e-06, -0.07429663091897964, 0, -1.1920928244535389e-07, -0.009443494491279125, -0.0035963875707238913, 0, -2.1457441107486375e-05, 0, 0]",0.9294176381046677,INCORRECT
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]",The director of *The Inspector General* (1949) was Henry Koster.,"[-0.0626920685172081, -5.090107151772827e-05, -1.6689286894688848e-06, -0.0011713793501257896, 0, -8.344646857949556e-07, -4.291525328881107e-06, -1.1920928244535389e-07, -0.0005529781919904053, -8.344646857949556e-07, -1.1920928244535389e-07, -3.40932747349143e-05, -3.576214658096433e-05, -3.564294092939235e-05, -1.1920928244535389e-07, -0.00017271934484597296, -1.585470999998506e-05, -1.847726889536716e-05, -2.3841855067985307e-07, 0]",0.9967658360994133,CORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]",The screenwriter for *Cover Up* was Stephen J. Cannell.,"[-0.0755942091345787, -0.00044967554276809096, -5.8530047681415454e-05, -2.622600959512056e-06, -0.0035345007199794054, -1.1324817933200393e-05, -2.264974000354414e-06, -1.7881377516459906e-06, -0.003243544837459922, -0.901073694229126, -0.013167450204491615, 0, -2.1576648578047752e-05, 0, -0.0009189196862280369, 0]",0.9395257931801534,INCORRECT
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",*The Who by Numbers* is a rock album by the British rock band The Who.,"[-0.3351016640663147, -7.867782187531702e-06, -7.152555099310121e-07, -2.4437606043647975e-05, -8.427741704508662e-05, -3.576278118089249e-07, -4.887569048150908e-06, -3.540453326422721e-05, -2.8371408916427754e-05, -1.0728830375228426e-06, -0.28171563148498535, -0.31326401233673096, -0.10103350132703781, -0.06196761503815651, -1.1920928244535389e-07, 0, -3.576278118089249e-07, -0.31326183676719666, 0]",0.9286456850469179,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The director of *The Night Has Eyes* was Leslie Arliss.,"[-0.0002320735511602834, -2.634490556374658e-05, -9.536738616588991e-07, -0.0007146426942199469, -3.576278118089249e-07, -2.3841855067985307e-07, -3.2186455882765586e-06, -4.2914423829643056e-05, 0, -0.00043072958942502737, -0.556367814540863, -0.02879716455936432, -4.768370445162873e-07, -1.311301275563892e-06, -2.50339189733495e-06, 0]",0.9640001810985637,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",The capital of Sierra Leone is Freetown.,"[-0.0005530973430722952, -5.960462772236497e-07, -1.4305104514278355e-06, -2.3841855067985307e-07, -2.3841855067985307e-07, 0, 0, 0, 0, -3.576278118089249e-07, 0]",0.9999494596076892,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",The father of Mother Mary Alphonsa (Mary Ellen O'Connell) was Daniel O'Connell.,"[-0.013708258979022503, -4.8397800128441304e-05, -2.3841855067985307e-07, -0.001662064460106194, -9.536738616588991e-07, -3.4570634852570947e-06, -2.264974000354414e-06, 0, -1.9073468138230965e-06, -0.9936583638191223, -1.3639330863952637, -0.49563297629356384, -0.0025484247598797083, -0.11306660622358322, -0.048749133944511414, -3.3378546504536644e-06, -0.00861463975161314, -0.26005053520202637, -1.0728830375228426e-06, -0.0009114163694903255, -1.1920928244535389e-07, -6.437280717364047e-06, 0]",0.8662415658654204,INCORRECT
