Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone set foot on the Moon was on December 14 , 1972, during NASA’s Apollo 17 mission.","The last time anyone set foot on the Moon was on December 14, 1972, during NASA’s Apollo 17 mission.","The last time anyone set foot on the Moon was during NASA’s Apollo 17 mission, when astronauts left the lunar surface on December 14, 1972.",The last,"The last time anyone was on the Moon was during Apollo 17, when astronauts Eugene Cernan and Harrison Schmitt walked on the lunar surface on December 14, 1972.","The last time anyone set foot on the Moon was on December 14 , 1972, during NASA’s Apollo 17 mission.","The last humans walked on the Moon during NASA’s Apollo 17 mission, which concluded on December 14, 1972.","The last humans left the Moon on December 14 , 1972, during NASA’s Apollo 17 mission.","The last time anyone set foot on the Moon was on December 14, 1972, during NASA’s Apollo 17 mission.","The last time anyone set foot on the Moon was on December 14, 1972, during NASA’s Apollo 17 mission.",0,0,0,1,0,0,0,2,0,0,0.8,"The last time anyone set foot on the Moon was on December 14 , 1972, during NASA’s Apollo 17 mission.",CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to “He Ain’t Heavy, It’s My Brother” were written by Bobby Scott and Bob Kay.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.",The lyrics were written by Bobby Scott and Bob Russell.,The lyrics were written by Bobby Scott and Bob Russell.,"The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and lyricist Bob Russell.","The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.",0,1,1,1,1,1,1,1,1,1,0.9,"The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.",INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,One season.,One season.,One season.,One season.,One season.,There is only one season of *The Bastard Executioner*.,One season.,One season.,One season.,One season.,0,0,0,0,0,0,0,0,0,0,1.0,One season.,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,The Philadelphia Eagles won their last Super Bowl on February 4 2018 (Super Bowl LII).,"The Eagles won their most recent Super Bowl (Super Bowl LII) on February 4, 2018.","The Philadelphia Eagles won their last Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018 (Super Bowl LII).","The Eagles won their most recent Super Bowl (Super Bowl LII) on February 4, 2018.","The Eagles won their most recent Super Bowl (Super Bowl LII) on February 4, 2018.","The Eagles won their last Super Bowl on February 4, 2018 (Super Bowl LII).","The Philadelphia Eagles won their last Super Bowl on February 4, 2018 (Super Bowl LII).","The Eagles won their most recent Super Bowl (Super Bowl LII) on February 4, 2018.","The Philadelphia Eagles won their most recent Super Bowl (Super Bowl LII) on February 4, 2018.",0,0,0,0,0,0,0,0,0,0,1.0,The Philadelphia Eagles won their last Super Bowl on February 4 2018 (Super Bowl LII).,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,LSU won last year's NCAA women’s basketball championship.,South Carolina won last year's NCAA women's basketball championship.,LSU won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,LSU won the 2024 NCAA women’s basketball championship.,LSU won the 2024 NCAA women’s basketball championship.,South Carolina won the NCAA women’s basketball championship last year.,LSU won last year's NCAA women's basketball championship.,LSU won last year’s NCAA women’s basketball championship.,LSU won the 2023 NCAA women’s basketball championship.,0,1,0,1,2,2,1,0,0,3,0.4,LSU won last year's NCAA women’s basketball championship.,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became a true island about 7 thousand years ago, when rising sea levels after the last Ice Age flooded the Solent separating it from mainland Britain.","It became an island about 7,000 years ago, when post‑glacial sea‑level rise flooded the Solent and separated it from the mainland.",The Isle of Wight became a distinct island after the post‑glacial sea‑level rise that flooded the Solent around 7 000 years ago.,"The Isle of Wight became a distinct island around 7,000 years ago, when post‑glacial sea‑level rise flooded the Solent and separated it from mainland Britain.","It has been an island since the post‑glacial sea‑level rise that created the Solent about 7,000 years ago.",The Isle of Wight became a distinct island after the post‑glacial sea‑level rise that flooded the Solent around 7 000 years ago (circa 6000 BCE).,"It became an island around 8,000 years ago, when post‑glacial sea‑level rise flooded the Solent separating it from mainland England.","The Isle of Wight became a distinct island after the post‑glacial sea‑level rise that flooded the Solent around 7,000 years ago (≈ 6000 BCE).","The Isle of Wight became a true island when post‑glacial sea‑level rise flooded the Solent about 7,000 years ago (around 5 k BCE).","The Isle of Wight became a true island when rising sea levels after the last Ice Age flooded the surrounding low‑lying land—approximately 7,000 years ago, around 5000 BCE.",0,0,0,0,0,0,0,0,0,1,0.9,"The Isle of Wight became a true island about 7 thousand years ago, when rising sea levels after the last Ice Age flooded the Solent separating it from mainland Britain.",CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"It’s widely interpreted as a breakup song directed at his ex‑girlfriend, Selena Gomez.",It’s about a former romantic partner—someone who treated him badly and left him feeling resentful.,"It’s widely believed to be directed at his ex‑girlfriend, Selena Gomez.",It’s a breakup song aimed at a former girlfriend—widely speculated to reference his brief relationship with Taylor Swift.,It’s a tongue‑in‑cheek breakup song directed at a former girlfriend who treated him poorly.,The song “Love Yourself” is widely believed to be directed at Taylor Swift.,"It’s a sarcastic breakup anthem directed at a former girlfriend—widely interpreted as being about Justin Bieber’s ex, Selena Gomez.",It’s about a former romantic partner—widely speculated to be his ex‑girlfriend (often rumored to,It’s directed at a former romantic partner who was self‑absorbed and dismissive.,It’s a self‑empowerment anthem about loving and accepting oneself.,0,1,0,2,1,3,0,0,4,5,0.4,"It’s widely interpreted as a breakup song directed at his ex‑girlfriend, Selena Gomez.",INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,King James I was the ruler of England in 1616.,King James I.,King James I was the ruler of England in 1616.,King James I.,King James I was the ruler of England in 1616.,King James I was the ruler of England in 1616.,King James I.,King James I was the ruler of England in 1616.,The ruler of England in 1616 was King James I.,King James I was the ruler of England in 1616.,0,0,0,0,0,0,0,0,0,0,1.0,King James I was the ruler of England in 1616.,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The Hot Coffee mod is an unofficial modification for *Grand Theft Auto: San Andreas* that unlocks a hidden, sexually explicit mini‑game originally disabled by the game’s developers.","The “Hot Coffee” mod is a hidden mini‑game in Grand Theft Auto: San Andreas that unlocks an explicit, interactive sex scene originally disabled in the official release.","The “Hot Coffee” mod is a hidden, unlockable minigame in *Grand Theft Auto: San Andreas* that lets players engage in an explicit, interactive sex scene.","The “Hot Coffee” mod is a hidden, unlockable minigame in *Grand Theft Auto: San Andreas* that adds a graphic sexual scene where the player can engage in a simulated sexual act with a girlfriend.","The Hot Coffee mod is a hidden, unlockable mini‑game in *Grand Theft Auto: San Andreas* that lets players engage in explicit sexual activities with in‑game characters, which was accessed by modifying the game’s code and led to controversy and the game’s re‑rating.","The Hot Coffee mod is a hidden, unlocked “dating‑sim” minigame in *Grand Theft Auto: San Andreas* that lets the player engage in explicit sexual activities with in‑game girlfriends.","The Hot Coffee mod is a hidden, unlocked mini‑game in *Grand Theft Auto: San Andreas* that lets players access a previously inaccessible, explicit sex scene.","The Hot Coffee mod is a hidden, unlocked mini‑game in *Grand Theft Auto: San Andreas* that lets the player engage in explicit sexual activities with the game's girlfriend characters, leading to the game's rating being changed to ""Adults Only"" and a major controversy.","The “Hot Coffee” mod is a hidden, unlocked minigame in *Grand Theft Auto: San Andreas* that allows players to engage in explicit sexual activities with a character’s girlfriend.","The Hot Coffee mod is a hidden, unlocked minigame in Grand Theft Auto: San Andreas that enables explicit sexual scenes between the player’s character and his girlfriend.",0,0,1,1,1,1,1,1,1,1,0.8,"The “Hot Coffee” mod is a hidden, unlockable minigame in *Grand Theft Auto: San Andreas* that lets players engage in an explicit, interactive sex scene.",CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,54 Mbps.,The maximum data rate defined for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,54 Mbps.,The 802.11a standard supports a maximum data rate of 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,54 Mbps.,54 Mbps.,The 802.11a standard supports a maximum data rate of 54 Mbps.,54 Mbps.,0,0,0,0,0,0,0,0,0,0,1.0,54 Mbps.,CORRECT
