Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The most recent humans on the Moon were the Apollo 17 crew, who landed on 14 December 1972",0.830752432346344,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to “He Ain’t Heavy, He’s My Brother” were written by songwriters Bobby Scott and Bob Russell.",0.7595228552818298,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,The series *The Bastard Executioner* consists of a single season.,0.8511388301849365,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018 (Super Bowl LII).",0.8483260869979858,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,LSU won last year’s NCAA women’s basketball championship.,0.6911420822143555,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,The Isle of Wight has been separated from mainland Britain since the post‑glacial flooding that formed the Solent about 7 000 years ago.,0.7907546162605286,INCORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"The song “Love Yourself” is widely interpreted as a breakup track aimed at Bieber’s former girlfriend, Selena Gomez.",0.7380920648574829,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,King James I was the ruler of England in 1616.,0.8426162004470825,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The “Hot Coffee” mod is an unofficial game‑play alteration for Grand Theft Auto: San Andreas that unlocks a previously hidden, sexually explicit minigame involving the protagonist’s in‑car encounters.",0.6800373792648315,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The 802.11a standard supports a maximum data rate of 54 Mbps.,0.7960702776908875,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is the state that lies in the centre of India.,0.8621207475662231,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"I’m not certain, but it may have been performed by A Flock of",0.2125891000032425,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,The surname Wallace originated,0.7134847044944763,NOT_ATTEMPTED
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,Michael Moriarty played Ben Stone on *Law & Order*.,0.7876909971237183,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,,0.6963092684745789,NOT_ATTEMPTED
