Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,raw_responses,responses,confidences,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","{""answer"":""Insufficient context to determine which work titled 'Nothing' is meant (there are songs, albums, films, and books across genres), please specify the artist, author, or medium."",""confidence_score"":45}","Insufficient context to determine which work titled 'Nothing' is meant (there are songs, albums, films, and books across genres), please specify the artist, author, or medium.",0.45,NOT_ATTEMPTED
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","{""answer"":""Eustace is in the United States (Eustace, Texas)."",""confidence_score"":85}","Eustace is in the United States (Eustace, Texas).",0.85,CORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]","{
""answer"": ""Frank Capra directed the 1959 film A Hole in the Head."",
""confidence_score"": 98
}",Frank Capra directed the 1959 film A Hole in the Head.,0.98,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]","{
""answer"": ""The director of Since (2015 South Korean film) is Chang Yu-kai (also credited as Zhang Yuke)."",
""confidence_score"": 45
}",The director of Since (2015 South Korean film) is Chang Yu-kai (also credited as Zhang Yuke).,0.45,INCORRECT
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]","{""answer"":""The director of the 1949 film The Inspector General (also released as The Government Inspector) was Henry Koster."",""confidence_score"":60}",The director of the 1949 film The Inspector General (also released as The Government Inspector) was Henry Koster.,0.6,CORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]","{""answer"":""The screenwriter for the 1949 film Cover Up was Walter Bullock (story) and William H. Wright (screenplay) — main screenplay credit: William H. Wright."",""confidence_score"":75}",The screenwriter for the 1949 film Cover Up was Walter Bullock (story) and William H. Wright (screenplay) — main screenplay credit: William H. Wright.,0.75,INCORRECT
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","{
""answer"": ""The Who by Numbers is a rock album (specifically classic rock / hard rock with elements of pop rock) by The Who."",
""confidence_score"": 95
}",The Who by Numbers is a rock album (specifically classic rock / hard rock with elements of pop rock) by The Who.,0.95,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]","{
""answer"": ""The director of The Night Has Eyes (1942) was Leslie Arliss."",
""confidence_score"": 95
}",The director of The Night Has Eyes (1942) was Leslie Arliss.,0.95,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]","{
""answer"": ""The capital of Sierra Leone is Freetown."",
""confidence_score"": 100
}",The capital of Sierra Leone is Freetown.,1.0,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]","{
""answer"": ""Mother Mary Alphonsa's father was Joseph Puthenparampil."",
""confidence_score"": 65
}",Mother Mary Alphonsa's father was Joseph Puthenparampil.,0.65,INCORRECT
