Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.",0.774153470993042,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.",0.8049961924552917,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is only one season of *The Bastard Executioner*.,0.8221454620361328,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.",0.8984693884849548,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,South Carolina won last year's NCAA women's basketball championship.,0.7772988080978394,CORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island around 7,000 years ago due to rising sea levels following the last Ice Age.",0.7015658617019653,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about a self-centered former lover, with lyrics implying the person is so narcissistic they should just love themselves instead.",0.8303220868110657,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,The ruler of England in 1616 was King James I.,0.8659372925758362,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""hot coffee mod"" in San Andreas is a controversial modification that unlocks hidden, explicit content involving a minigame with a character named Katie during a mission at her house.",0.6485337018966675,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,0.8209317922592163,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is the state located in the centre of India.,0.8175209760665894,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"""I Ran (So Far Away)"" was sung by the British new wave band A Flock of Seagulls.",0.8138368725776672,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The last name Wallace originated in Scotland, derived from the Old French ""Waleis,"" meaning ""Welshman"" or ""foreigner,"" used to describe a person of Welsh or non-Norman Celtic origin.",0.5746253728866577,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Ben Stone on *Law & Order* was Michael Moriarty.,0.8318023085594177,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,Moira Kelly voiced Nala in the 1994 animated film *The Lion King*.,0.8505561351776123,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,Leslie Drummond plays the character Gram on *The Young and the Restless*.,0.8161121010780334,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"New citizens take the Oath of Allegiance, pledging loyalty to the United States, renouncing allegiance to other countries, and promising to support and defend the U.S. Constitution and laws.",0.9120317101478577,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker is under the mask of Darth Vader.,0.8513015508651733,CORRECT
