,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]"
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]"
2668,780319,Dex,genre,action role-playing game,332681,91,231165,[],"[""action role-playing video game"",""action RPG"",""ARPG"",""action\/RPG""]",http://www.wikidata.org/entity/Q15710454,http://www.wikidata.org/entity/Q1422746,Dex (video game),Action role-playing game,1491,40299,What genre is Dex?,"[""action role-playing game"", ""action role-playing video game"", ""action RPG"", ""ARPG"", ""action/RPG""]"
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]"
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]"
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]"
10763,312836,Mother,composer,Tikhon Khrennikov,126538,639,1188215,[],"[""Tikhon Nikolayevich Khrennikov""]",http://www.wikidata.org/entity/Q1214957,http://www.wikidata.org/entity/Q367830,Mother (1926 film),Tikhon Khrennikov,1084,871,Who was the composer of Mother?,"[""Tikhon Khrennikov"", ""Tikhon Nikolayevich Khrennikov""]"
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]"
13970,6499110,Mexico,capital,Mexico City,2919374,422,273682,"[""MX"",""mx"",""United Mexican States"",""Mexican Republic"",""MEX"",""\ud83c\uddf2\ud83c\uddfd""]","[""Mexico D.F."",""Ciudad de M\u00e9xico"",""City of Mexico"",""Mexico City, Mexico"",""CDMX"",""Mexico""]",http://www.wikidata.org/entity/Q96,http://www.wikidata.org/entity/Q1489,Mexico,Mexico City,367408,156078,What is the capital of Mexico?,"[""Mexico City"", ""Mexico D.F."", ""Ciudad de México"", ""City of Mexico"", ""Mexico City, Mexico"", ""CDMX"", ""Mexico""]"
5959,2358241,Green Tea,director,Zhang Yuan,1027423,526,694210,[],"[""Yuan Zhang""]",http://www.wikidata.org/entity/Q3116114,http://www.wikidata.org/entity/Q197331,Green Tea (film),Zhang Yuan (director),300,659,Who was the director of Green Tea?,"[""Zhang Yuan"", ""Yuan Zhang""]"
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
