Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.","The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.",The last time anyone was on the Moon was during NASA's Apollo 17 mission in December 1972.,The last time anyone was on the Moon was during NASA's Apollo 17 mission in December 1972.,"The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.","The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.","The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.","The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.",The last time anyone was on the Moon was during NASA's Apollo 17 mission in December 1972.,"The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.",0,0,0,0,0,0,0,0,0,0,1.0,"The last time anyone was on the Moon was December 1972, during NASA's Apollo 17 mission.",CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.","The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.",0,1,0,0,0,0,0,0,0,0,0.9,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell.",INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,There is only one season of *The Bastard Executioner*.,0,0,0,0,0,0,0,0,0,0,1.0,There is only one season of *The Bastard Executioner*.,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.","The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.",0,0,0,0,0,0,0,0,0,0,1.0,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, defeating the New England Patriots in Super Bowl LII.",INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,The LSU Tigers won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,South Carolina won last year's NCAA women's basketball championship.,The LSU Tigers won last year's NCAA women's basketball championship.,0,0,1,0,0,0,0,0,0,1,0.8,South Carolina won last year's NCAA women's basketball championship.,CORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels following the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels after the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels separating it from mainland Britain.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels following the last Ice Age.","The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.",0,0,0,0,0,1,0,0,0,0,0.9,"The Isle of Wight became an island around 7,000 years ago due to rising sea levels at the end of the last Ice Age.",CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about a self-centered ex-lover, with lyrics suggesting the person cared more about themselves than the relationship.","""Love Yourself"" by Justin Bieber is about a self-centered ex-lover, with lyrics suggesting the person cares more about themselves than the relationship.","""Love Yourself"" by Justin Bieber is about a narcissistic ex-partner who is more in love with themselves than with the narrator.","""Love Yourself"" by Justin Bieber is about a narcissistic ex-partner who is more in love with themselves than with the relationship.","""Love Yourself"" by Justin Bieber is about a self-centered former lover whom the narrator realizes was never truly caring or genuine in the relationship.","""Love Yourself"" by Justin Bieber is about a self-centered ex-lover, with lyrics written by Ed Sheeran that indirectly critique someone from his own past relationship.","""Love Yourself"" by Justin Bieber is about a self-centered former lover who is being called out for their narcissism and lack of genuine care in the relationship.","""Love Yourself"" by Justin Bieber is about a narcissistic ex-partner, indirectly referencing a former relationship, with lyrics written by Ed Sheeran that reflect on someone who is self-absorbed and incapable of genuine love.","""Love Yourself"" by Justin Bieber is about a narcissistic ex-partner who is so self-absorbed that they should just love themselves instead.","""Love Yourself"" by Justin Bieber is about a narcissistic ex-lover who is so self-absorbed that they don’t realize the pain they’ve caused.",0,0,0,0,0,1,0,1,0,2,0.7,"""Love Yourself"" by Justin Bieber is about a self-centered ex-lover, with lyrics suggesting the person cared more about themselves than the relationship.",INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,The ruler of England in 1616 was King James I.,0,0,0,0,0,0,0,0,0,0,1.0,The ruler of England in 1616 was King James I.,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""hot coffee mod"" in San Andreas is a hidden, unlockable adult-themed minigame featuring a sexual encounter between the protagonist and his girlfriend, which became controversial upon its discovery.","The ""hot coffee mod"" in *Grand Theft Auto: San Andreas* is a hacked-in minigame that reveals an explicit, sexually suggestive scene between the protagonist and his girlfriend, which was partially present in the game's code but not accessible without modification.","The ""Hot Coffee mod"" in *Grand Theft Auto: San Andreas* is a hacked-in minigame that reveals a hidden, sexually explicit scene between the protagonist and his girlfriend, which was not accessible in the original retail version of the game.","The ""hot coffee mod"" in *San Andreas* is a hacked modification that unlocks hidden adult content involving a minigame with a character named Katie, which was originally inaccessible in the base game.","The ""hot coffee mod"" in San Andreas is a controversial modification that unlocked hidden, explicit sexual content involving the protagonist and his girlfriend, which was originally inaccessible in the base game.","The ""Hot Coffee mod"" in *Grand Theft Auto: San Andreas* is a controversial modification that unlocks hidden, explicit sexual content involving the main character and his girlfriends, which was not accessible in the original retail version of the game.","The ""hot coffee mod"" in *San Andreas* is a hacked modification that unlocks hidden adult-content scenes involving the protagonist and his girlfriends, which were partially present in the game's code but not accessible through normal gameplay.","The ""hot coffee mod"" in San Andreas is a hidden, unlockable adult-themed minigame that allows players to view explicit sexual content with a character named Katie, originally disabled in the base game but accessible through modding.","The ""hot coffee mod"" in *Grand Theft Auto: San Andreas* is a controversial modification that unlocks hidden, explicit adult content involving a minigame with a character named Denise during a mission.","The ""Hot Coffee"" mod in *Grand Theft Auto: San Andreas* unlocks a hidden, explicit minigame involving a sexual encounter with the character Katie, which was originally disabled in the retail version of the game.",0,1,1,2,0,3,1,2,4,5,0.3,"The ""hot coffee mod"" in *Grand Theft Auto: San Andreas* is a hacked-in minigame that reveals an explicit, sexually suggestive scene between the protagonist and his girlfriend, which was partially present in the game's code but not accessible without modification.",CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,The maximum data rate for the 802.11a standard is 54 Mbps.,0,0,0,0,0,0,0,0,0,0,1.0,The maximum data rate for the 802.11a standard is 54 Mbps.,CORRECT
