Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","""Nothing"" is not a recognized musical artist or band, so it does not have a defined genre.","""Nothing"" is an alternative rock band.","""Nothing"" is an alternative rock band.","""Nothing"" is an alternative rock band.","""Nothing"" is not a work of fiction or media, so it does not have a genre.","""Nothing"" is not a work of fiction or art, so it does not have a genre.","""Nothing"" is not a recognized work, so its genre cannot be determined.","""Nothing"" is an alternative rock band.","""Nothing"" is an alternative rock band.","""Nothing"" is an alternative rock band.",0,1,1,1,2,2,2,1,1,1,0.6,"""Nothing"" is an alternative rock band.",INCORRECT
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,Eustace is in the United States.,0,0,0,0,0,0,0,0,0,0,1.0,Eustace is in the United States.,CORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,The director of *A Hole in the Head* was Frank Capra.,0,0,0,0,0,0,0,0,0,0,1.0,The director of *A Hole in the Head* was Frank Capra.,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]","There is no known film or work titled ""Since,"" so there is no director associated with it.",There is no known film or work titled *Since*; please verify the title.,"There is no known film or work titled ""Since"" with a publicly recognized director.","There is no known film or work titled ""Since,"" so there is no director associated with it.",There is no known film or work titled *Since*; please clarify the title for an accurate answer.,"There is no known film or work titled ""Since"" with a publicly recognized director.",There is no known film or work titled *Since*; please clarify the title or provide more context.,The director of *Since* (also known as *Four Stars*) was Andy Warhol.,"There is no known film or work titled ""Since,"" so there is no director associated with it.","There is no known film or work titled ""Since,"" so there is no director associated with it.",0,1,0,0,1,0,1,2,0,0,0.6,"There is no known film or work titled ""Since,"" so there is no director associated with it.",INCORRECT
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]",The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,The director of *The Inspector General* (1949) was Henry Koster.,0,0,0,0,0,0,0,0,0,0,1.0,The director of *The Inspector General* (1949) was Henry Koster.,CORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]",The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Glen A. Larson.,The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Glen A. Larson.,The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Stephen J. Cannell.,The screenwriter for *Cover Up* was Glen A. Larson.,The screenwriter for *Cover Up* was Stephen J. Cannell.,0,1,0,0,0,1,0,0,1,0,0.7,The screenwriter for *Cover Up* was Stephen J. Cannell.,INCORRECT
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,"*The Who by Numbers* is a rock album by the British rock band The Who, falling primarily within the genres of classic rock and hard rock.",*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,*The Who by Numbers* is a rock album by the British rock band The Who.,0,0,0,0,0,0,0,0,0,0,1.0,*The Who by Numbers* is a rock album by the British rock band The Who.,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Arthur Crabtree.,The director of *The Night Has Eyes* was Arthur Crabtree.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Leslie Arliss.,The director of *The Night Has Eyes* was Arthur Crabtree.,0,1,1,0,0,0,0,0,0,1,0.7,The director of *The Night Has Eyes* was Leslie Arliss.,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,0,0,0,0,0,0,0,0,0,0,1.0,The capital of Sierra Leone is Freetown.,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",The father of Mother Mary Alphonsa (born Mollie Rogers) was Captain John Rogers.,The father of Mother Mary Alphonsa is William McCue.,The father of Mother Mary Alphonsa is Thomas Pyle.,The father of Mother Mary Alphonsa is William McCrory.,The father of Mother Mary Alphonsa (born Anna Maria Pfaller) was Johann Pfaller.,The father of Mother Mary Alphonsa (born Mollie Rogers) was Robert Rogers.,The father of Mother Mary Alphonsa (born M. A. Clarissa) was Puthenpurackal Ouseph.,The father of Mother Mary Alphonsa (Mary Ellen O'Connell) was Daniel O'Connell.,The father of Mother Mary Alphonsa (born Mollie Rogers) was David H. Rogers.,The father of Mother Mary Alphonsa (born Mollie Rogers) was Captain John Rogers.,0,1,2,3,4,5,6,7,8,0,0.2,The father of Mother Mary Alphonsa (born Mollie Rogers) was Captain John Rogers.,INCORRECT
10763,312836,Mother,composer,Tikhon Khrennikov,126538,639,1188215,[],"[""Tikhon Nikolayevich Khrennikov""]",http://www.wikidata.org/entity/Q1214957,http://www.wikidata.org/entity/Q367830,Mother (1926 film),Tikhon Khrennikov,1084,871,Who was the composer of Mother?,"[""Tikhon Khrennikov"", ""Tikhon Nikolayevich Khrennikov""]",The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki.,The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki.,"The composer of *Mother* (known as *EarthBound* outside Japan) was Keiichi Suzuki, with additional music by Hirokazu Tanaka.","The composer of *Mother* (known as *EarthBound* outside Japan) was Keiichi Suzuki, with additional music by Hirokazu Tanaka.",The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki.,The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki.,The composer of *Mother* (known as *EarthBound* outside Japan) was Keiichi Suzuki.,"The composer of *Mother* (known as *EarthBound* outside Japan) was Keiichi Suzuki, with additional music by Hirokazu Tanaka.","The composer of *Mother* (known as *EarthBound* outside Japan) was Keiichi Suzuki, with additional music by Hirokazu Tanaka.",The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki and Hirokazu Tanaka.,0,0,0,0,0,0,0,0,0,0,1.0,The composer of *Mother* (known as *EarthBound* outside Japan) is Keiichi Suzuki.,INCORRECT
