Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,logprobs,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The most recent human moonwalk was on December 14 1972, during NASA’s Apollo 17 mission.","[0, 0, 0, -0.08510337769985199, -2.9925076961517334, -6.48519562673755e-05, -0.0013871272094547749, -0.18270674347877502, -0.2524579167366028, -0.001199010293930769, -0.40104377269744873, -0.02773631364107132, -0.21574127674102783, -0.055975813418626785, -0.006872852798551321, 0, -0.0005529859336093068, -0.8875819444656372, -1.7881409348774469e-06, 0, -0.15841181576251984, 0, 0, -7.74863383412594e-06, -0.0001896203466458246, 0, 0, 0, 0, 0, 0, -1.3659745454788208, 0, -0.1113235205411911, -0.6611688137054443, -0.013671444728970528, -1.1130657196044922, -0.0016925345407798886, -0.5345900654792786, -0.00038684936589561403, 0, 0, -1.9407298564910889, -0.0015801748959347606, 0, -0.08775100857019424, -0.01948130689561367, -0.0007736098486930132, -4.768372718899627e-07, -1.3113030945532955e-06, -5.960466182841628e-07, 0, 0, 0, 0]",0.8169206157631136,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,It was written by songwriters Bobby Scott and Bob Russell.,"[0, 0, 0, -0.06906158477067947, -0.8039761185646057, -0.04321378096938133, -1.9732282161712646, -0.055301301181316376, -0.4833272695541382, -0.012766444124281406, -4.768372718899627e-07, -0.00027248996775597334, -0.00018938188441097736, 0, 0, -0.002343418076634407, 0, -7.653529610252008e-05, -2.229238634754438e-05, -0.4333096146583557, -0.698034942150116, -0.2524867653846741, 0, -1.1920930376163597e-07, -0.05654487758874893, -0.0022744154557585716, 0, -0.056188203394412994, -0.004705335944890976, -1.9073504518019035e-06, -0.00020714759011752903, -0.0005145204486325383, -2.0861843950115144e-05, -0.0007960984366945922, -0.0016164724947884679, -0.5627700686454773, -3.576279254957626e-07, -1.120573597290786e-05, 0, 0, 0, 0, 0, -1.7075430154800415, 0, -0.003293567569926381, 0, -0.8909534215927124, -1.5497327694902197e-05, -0.03948553279042244, -9.27491273614578e-05, 0, -1.3113030945532955e-06, -0.00038708787178620696, -7.152582838898525e-06, 0, 0, 0, 0]",0.8709061624265487,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,One season.,"[0, 0, 0, -0.3574908673763275, -0.00011075156362494454, -0.006267777644097805, -0.0023349940311163664, -0.10537848621606827, -0.024697721004486084, 0, 0, 0, -0.1818903684616089, -0.04199393466114998, -0.01948130689561367, 0, -7.152560215217818e-07, -0.05717705935239792, 0, 0, 0, 0, 0, -0.24716438353061676, -0.0007905507809482515, 0, 0]",0.9620435919785317,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018 (Super Bowl LII).","[0, 0, 0, -0.11325032263994217, -0.30263084173202515, -0.00040509560494683683, -0.00014783044753130525, -0.29459190368652344, -0.07170109450817108, 0, -1.0728841743912199e-06, -1.1682578588079195e-05, -0.055846408009529114, -1.1127549409866333, 0, 0, -0.004703299608081579, 0, 0, 0, 0, -0.19550348818302155, -0.1122860237956047, -2.3841860752327193e-07, -2.0265599687263602e-06, 0, 0, 0, 0, 0, 0, 0, -0.004703299608081579, -1.7881409348774469e-06, -7.629423635080457e-06, -3.171017306158319e-05, -1.0211889743804932, 0, -3.171017306158319e-05, -0.0011297287419438362, -0.3984796702861786, -5.960482212685747e-06, -2.145769485650817e-06, 0, -0.0007901928620412946, 0, 0, 0, -0.0007907893741503358, 0, -1.0848104466276709e-05, -0.15783752501010895, 0, 0, 0, 0]",0.9335792417410613,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,LSU won last year’s NCAA women’s basketball championship.,"[0, 0, 0, -0.018344992771744728, -2.6991095542907715, -0.00048255641013383865, -0.008023175410926342, -2.0712268352508545, 0, -0.8875788450241089, -3.0963871479034424, -0.009307892061769962, -1.3659785985946655, -0.4093998372554779, -7.987054232216906e-06, -9.536747711536009e-07, -0.002517528599128127, -0.02512596733868122, -0.01875406689941883, -1.6438446044921875, -5.960466182841628e-07, -1.6434000730514526, -0.1083800345659256, -0.01948082074522972, -4.768372718899627e-07, -0.054577138274908066, -0.0010691037168726325, -0.0018206710228696465, 0, -0.0016134873731061816, -0.9827736616134644, -0.04958499222993851, -4.64917320641689e-06, -1.0664077997207642, -0.4914870262145996, -0.4024014174938202, -0.007694985717535019, -0.007214700803160667, -0.0005870396271348, 0, 0, -0.376613050699234, -0.0743926540017128, 0, -0.05579693242907524, 0, 0, 0, 0, 0, 0, -6.198902156029362e-06, 0, -1.1920930376163597e-07, -1.3659745454788208, -0.21483099460601807, 0, -1.7881409348774469e-06, -0.0004363415646366775, 0, 0, -0.00027129752561450005, 0, 0]",0.7410160323578479,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"It became a distinct island around 7 000 years ago, when post‑glacial sea‑level rise flooded the Solent and separated it from the mainland.","[0, 0, 0, -0.08105350285768509, -0.15569409728050232, -0.000340758211677894, -0.8875828981399536, -0.054962076246738434, 0, -1.1920930376163597e-07, 0, -0.007465683855116367, -2.4270997047424316, -0.00031285409932024777, -0.05040145292878151, -2.041746139526367, -0.7902994155883789, 0, -0.00032692530658096075, -2.7418175250204513e-06, 0, -0.501083493232727, -0.2997191846370697, -0.05259629711508751, -0.05283040553331375, -1.5735749911982566e-05, -6.580569606740028e-05, -0.0047682179138064384, -4.768372718899627e-07, -0.5419130325317383, -0.23219789564609528, -0.002150103682652116, -0.1590459942817688, 0, -0.3365688621997833, -0.6740191578865051, -1.1024492979049683, -0.009868879802525043, 0, -0.0007906701066531241, -2.622607780722319e-06, -0.0007909086998552084, -0.07587168365716934, -0.003680616617202759, -0.005816774442791939, -2.2927803993225098, -0.5354007482528687, -2.1457903130794875e-05, 0, -2.98023678624304e-06, -0.0007994389161467552, 0, 0, 0, 0, 0, -0.2862548828125, -0.0010229811305180192, -0.07889579236507416, -0.4076663851737976, 0, -1.8600257635116577, -0.00958485621958971, 0, -1.1127524375915527, -9.537197911413386e-05, -1.561653880344238e-05, -2.3841860752327193e-07, 0, -1.7166285033454187e-05, -0.0016134873731061816, -0.2151603102684021, 0, -7.021673809504136e-05, 0, -9.536747711536009e-07, -2.2649790025752736e-06, -1.585496102052275e-05, -1.1920930376163597e-07, -0.7749013304710388, 0, -0.09805821627378464, 0, -0.16503310203552246, -0.013791637495160103, -0.00018938188441097736, 0, -0.39846935868263245, -8.344653679159819e-07, 0, 0]",0.813295068421985,INCORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,It’s a sarcastic breakup song directed at a self‑absorbed former girlfriend.,"[0, 0, 0, -0.019880084320902824, -0.8949471712112427, -5.734131264034659e-05, -0.8875805735588074, -0.3300115764141083, -0.8998246192932129, 0, -1.1920930376163597e-07, -3.695494797284482e-06, -0.8572884202003479, -2.3841860752327193e-07, 0, -0.46028849482536316, -2.7418175250204513e-06, -0.9079300761222839, -0.01178385503590107, -0.2178715020418167, -0.6534133553504944, -1.3145304918289185, -0.41800183057785034, -0.0003240633523091674, -1.2723057270050049, -0.09767749160528183, -1.1700541973114014, -0.004642876796424389, -0.03675767406821251, -0.7234917283058167, -0.0016823249170556664, -0.23911716043949127, -2.0128417015075684, -0.42394888401031494, -0.5715833306312561, -0.07913949340581894, -0.050194550305604935, -5.19796085357666, -9.28683512029238e-05, 0, -0.5421464443206787, -3.7313202483346686e-05, -0.5343962907791138, -0.0001899780472740531, -0.027746057137846947, 0, 0, -0.024976231157779694, -0.1828717589378357, -0.04734518378973007, -1.1506080627441406, -0.0007934737368486822, -3.695494797284482e-06, -5.519542537513189e-05, -0.0004603730340022594, 0, 0, 0, 0, 0, -0.006212238222360611, -0.0010264418087899685, -1.4924733638763428, -2.5335569381713867, -1.3113030945532955e-06, -0.07243482023477554, -0.6935810446739197, -0.2556840777397156, -2.3841860752327193e-07, -0.21486935019493103, -0.005368790589272976, 0, -0.0023722152691334486, 0, -2.253788948059082, -1.1920930376163597e-07, -0.005491046234965324, 0]",0.6824274885383609,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,King James I was the ruler of England in 1616.,"[0, 0, 0, -0.0009153501014225185, -0.44212645292282104, -0.00027761736419051886, -0.3541448712348938, 0, 0, 0, -0.04128337651491165, -0.730851411819458, -4.887592695013154e-06, -0.005856763105839491, 0, 0, -6.48519562673755e-05, 0, -0.0005532245268113911, -7.152560215217818e-07, -0.006825561635196209, 0, 0, 0, 0, 0, -0.014112343080341816, -0.0016210097819566727, -0.003481899620965123, 0, -0.29875096678733826, -8.344653679159819e-07, -0.00470886891707778, 0, 0, 0, -0.11110135167837143, 0, 0, 0, 0]",0.9520027318598618,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The Hot Coffee mod is a hidden, unlocked minigame in Grand Theft Auto: San Andreas that reveals an explicit sex scene originally disabled in the official release.","[0, 0, 0, -0.11688817292451859, -4.749748706817627, -0.0756395161151886, -0.969730019569397, -1.3956795930862427, -0.1550205647945404, -4.0531240301788785e-06, -0.00016428389062639326, -2.3841860752327193e-07, -0.004006233997642994, -4.5300555939320475e-05, -3.123332135146484e-05, -0.8091661930084229, 0, 0, -0.022268112748861313, -0.004703299608081579, -0.2946893572807312, 0, -0.015628231689333916, -0.003630485152825713, 0, -0.005179803352802992, -0.059290386736392975, -0.47498464584350586, -0.003956924192607403, -0.01642342284321785, -0.40995973348617554, -0.484658420085907, 0, 0, 0, 0, 0, 0, -2.3841860752327193e-07, -0.11172346770763397, -1.3664029836654663, 0, -2.2530810383614153e-05, -0.0003237056080251932, -0.00038684936589561403, -0.00027463631704449654, -0.374790221452713, -1.112950325012207, -0.03948863223195076, 0, 0, -4.768372718899627e-07, -0.42908501625061035, -0.0030940307769924402, -0.03965841606259346, -5.245222382654902e-06, 0, -9.811405470827594e-05, 0, -0.0016134873731061816, -0.019511817023158073, 0, -0.00019117037300020456, -3.576279254957626e-07, 0, 0, -0.6947954297065735, -0.11096920818090439, -0.013567518442869186, -1.9814834594726562, -0.004706473555415869, -0.048738718032836914, -0.1407814919948578, -0.21486565470695496, 0, -0.6294793486595154, -0.004973060917109251, 0, 0]",0.8021584664852347,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,54 Mbps.,"[0, 0, 0, -1.118163824081421, -0.0007921613869257271, -1.8272844552993774, -2.3841860752327193e-07, -0.34530165791511536, -1.646914005279541, 0, 0, 0, 0, -9.179157132166438e-06, -0.00018652032304089516, 0, -0.29630011320114136, 0, -0.00412766495719552, 0, -9.536788638797589e-06, 0, 0, 0, 0, 0, -0.0067606898956000805, -5.364432581700385e-06, -1.7881409348774469e-06, -1.3113030945532955e-06, 0]",0.8443220829805316,CORRECT
