Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time humans were on the Moon was December 14, 1972, during NASA’s Apollo 17 mission.",0.7991892099380493,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott (music by Bob Russell).",0.8291565775871277,CORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is one season of The Bastard Executioner.,0.8279277682304382,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",0.8579797744750977,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,I need to know which year you mean — do you mean the most recent NCAA Division I Women's Basketball Tournament (which concluded in April 2025) or a different year?,0.2327466458082199,NOT_ATTEMPTED
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became a true island around 7,000–8,000 years ago at the end of the last Ice Age when rising sea levels cut the Solent channels and separated it from the mainland.",0.7228702306747437,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about an ex-girlfriend — widely believed to be Selena Gomez — and criticizes her selfish and manipulative behavior.",0.8368726968765259,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,James I was the ruler of England in 1616.,0.8343331813812256,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is a disabled mini-game buried in the game's code that, when unlocked by a mod or patch, allows the player to initiate explicit sexual interactions with the protagonist's girlfriend, generating controversy and leading to revised game ratings and legal actions.",0.6233147978782654,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,0.8237825036048889,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh.,0.7648787498474121,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"""I Ran (All the Way Home)"" was sung by A Flock of Seagulls, with lead vocals by Mike Score.",0.8493465185165405,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The surname Wallace is of Anglo-Norman and Scottish origin, derived from the Old English/Old French word for a Welshman or foreigner (from Old English wealh/Old French Waleis), originally used to denote someone of Welsh or Brittonic origin and famously borne by the Scottish family descended from a 12th-century leader, William Wallace.",0.5939580798149109,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,"Benjamin ""Ben"" Stone on Law & Order was played by actor Michael Moriarty.",0.8529437780380249,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,"In the original 1994 animated film The Lion King, Nala is voiced by actress and singer Moira Kelly (adult Nala) and by Laura Williams as young Nala.",0.8798431754112244,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,"If you mean the character ""Gram"" on The Young and the Restless, that was actress Bonnie Franklin who played a recurring role as Grandma (often called ""Gram"")—she appeared as Maureen in 1999.",0.6330121159553528,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"New U.S. citizens take the Oath of Allegiance, promising to support and defend the Constitution and laws of the United States, renounce allegiance to other nations, and bear arms or perform noncombatant or civilian service when required by law.",0.8852791786193848,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker (who later becomes known as Darth Vader).,0.829464316368103,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"Sarah — she gave birth to Isaac at about age 90 according to Genesis, but the Bible says Abraham was 100 when Isaac was born.",0.8885576725006104,CORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"There’s no single age everywhere—minimum ages vary by country, state, and retailer (commonly 10–18), so check your local laws and store policy for the exact minimum where you live.",0.7338716983795166,NOT_ATTEMPTED
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, ran out of fuel, and crashed into the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board.",0.8606964945793152,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"The 2013 film ""Percy Jackson & the Olympians: The Lightning Thief"" was primarily filmed in Vancouver and surrounding areas in British Columbia, Canada.",0.902715265750885,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,The Vampire Diaries has 8 seasons.,0.8199537992477417,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,Dragon Ball Z has 291 episodes.,0.8299880623817444,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,Auggie is played by Charlie Shotwell in the movie The Wonder.,0.7891032695770264,INCORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"The first Prime Minister of Australia, Sir Edmund Barton, was appointed on 1 January 1901 (and his government took office that day following federation).",0.8839001059532166,INCORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,"Jonathan Crombie originally played Gilbert Blythe in the 1985 Anne of Green Gables, but in the Netflix/ CBC series Anne with an E the character Matthew Cuthbert is played by R.H. Thomson.",0.7106485962867737,CORRECT
27,Adversarial,Misconceptions,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,Emma Watson,,Who is the girl in green day 21 guns,Lisa stelly,"The girl in Green Day's ""21 Guns"" music video is actress and model Kelsey Lanza.",0.8332948088645935,INCORRECT
28,Adversarial,Misconceptions,who plays joker in batman the dark knight,Ledger,Ledger,Johnny Depp,,Who plays joker in batman the dark knight,Ledger,Heath Ledger plays the Joker in The Dark Knight.,0.7648444771766663,CORRECT
29,Adversarial,Misconceptions,when was the south asian association for regional co-operation (saarc) formed,December 1985,December 1985; 8 December 1985,1988,,When was the south asian association for regional co-operation (saarc) formed,December 1985,The South Asian Association for Regional Cooperation (SAARC) was formed on 8 December 1985.,0.8481947779655457,CORRECT
30,Adversarial,Misconceptions,when was the first hunger games book published,"September 14, 2008","September 14, 2008; 2008",2005,,When was the first hunger games book published,"September 14, 2008","The first Hunger Games book, ""The Hunger Games"" by Suzanne Collins, was published on September 14, 2008.",0.8852722644805908,CORRECT
31,Adversarial,Misconceptions,who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,Janis Joplin,,Who did bette midler portray in the rose,Mary rose foster,"Bette Midler portrayed Mary Rose Foster (Rose ""Rosie"" Heller), commonly called Rose, in the 1979 film The Rose.",0.775985836982727,CORRECT
32,Adversarial,Misconceptions,who is the lead singer of depeche mode,David Gahan,David Gahan,Bono,,Who is the lead singer of depeche mode,David gahan,Dave Gahan.,0.7254301905632019,CORRECT
33,Adversarial,Misconceptions,where did the butchers in the slaughterhouse cases live,New Orleans,New Orleans,New York City,,Where did the butchers in the slaughterhouse cases live,New orleans,The butchers in the Slaughter-House Cases lived in New Orleans.,0.8161664009094238,CORRECT
34,Adversarial,Misconceptions,who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,Henry Ford,,Who developed the concept of total quality management,W. edwards deming,"The concept of Total Quality Management (TQM) was developed and popularized by W. Edwards Deming, with major contributions from Joseph M. Juran and Armand V. Feigenbaum.",0.8799893856048584,CORRECT
35,Adversarial,Misconceptions,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John,,Who wrote cant get you out of my head lyrics,Cathy dennis and rob davis,"The song ""Can't Get You Out of My Head"" was written by Cathy Dennis and Rob Davis.",0.721356213092804,CORRECT
36,Adversarial,Misconceptions,where does no game no life anime end,the Elkia Federation,the Elkia Federation; the sixth volume,Season 3 finale,,Where does no game no life anime end,The elkia federation,"The No Game No Life anime (the 2014 12-episode TV series) adapts volumes 1–3 of the light novel and ends after the events of volume 3, around the end of the Ino and Elk narrative arc (the battle for Elkia), leaving the overall war against Tet and later volumes unresolved.",0.8360706567764282,CORRECT
37,Adversarial,Misconceptions,when did taylor swift's first album release,"October 24, 2006","October 24, 2006; 2005",2004,,When did taylor swift's first album release,"October 24, 2006","Taylor Swift's self-titled debut album was released on October 24, 2006.",0.8634765148162842,CORRECT
38,Adversarial,Misconceptions,what are the three fifty shades of grey books,Fifty Shades of Grey,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",,What are the three fifty shades of grey books,Fifty shades of grey,"The three books in E. L. James’s Fifty Shades trilogy are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",0.8998830318450928,CORRECT
39,Adversarial,Misconceptions,who has the power (judicial) to make decisions in courts of law,judges,judges,The President,,Who has the power (judicial) to make decisions in courts of law,Judges,Judges have the judicial power to make decisions in courts of law.,0.7891929149627686,CORRECT
40,Adversarial,Misconceptions,what are the ranks in the us navy,E-8s senior chief petty officer,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant",,What are the ranks in the us navy,E-8s senior chief petty officer,"Enlisted: Seaman Recruit (E-1), Seaman Apprentice (E-2), Seaman (E-3); Petty Officers: Petty Officer Third Class (E-4), Petty Officer Second Class (E-5), Petty Officer First Class (E-6); Senior NCOs: Chief Petty Officer (E-7), Senior Chief Petty Officer (E-8), Master Chief Petty Officer (E-9) (including Command Master Chief and Master Chief Petty Officer of the Navy); Warrant Officers: W-1 (Warrant Officer) through W-5 (Chief Warrant Officer 5); Commissioned Officers: Ensign (O-1), Lieutenant Junior Grade (O-2), Lieutenant (O-3), Lieutenant Commander (O-4), Commander (O-5), Captain (O-6), Rear Admiral Lower Half (O-7), Rear Admiral (O-8), Vice Admiral (O-9), Admiral (O-10), and Fleet Admiral (wartime five-star rank).",0.9234551191329956,INCORRECT
41,Adversarial,Misconceptions,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,Al-Khwarizmi,,I was a great islamic scholar and mathematician who died in 1131 ce,Omar khayyam,"You are Omar Khayyám (Omar Khayyam), the Persian Islamic scholar, philosopher, and mathematician who died in 1131 CE.",0.7921338081359863,CORRECT
42,Adversarial,Misconceptions,who is the coach for the ottawa senators,Guy Boucher,Guy Boucher,Wayne Gretzky,,Who is the coach for the ottawa senators,Guy boucher,"As of the 2024 NHL season, the head coach of the Ottawa Senators is Patrick Roy (Note: if you mean NHL's Ottawa Senators, their current head coach is D.J. Smith; Patrick Roy is the coach of the AHL Ottawa Senators affiliate).",0.7628753185272217,INCORRECT
43,Adversarial,Misconceptions,last episode of what happens to my family,53,53,Episode 100,,Last episode of what happens to my family,53,"In the last episode of ""What Happens to My Family?"" (Turkish title: ""Babam ve Ailesi""), the family reconciles: Süleyman recovers from his struggles, secrets are revealed and forgiven, romances are resolved with the children finding happiness, and the family comes together united.",0.7656440734863281,NOT_ATTEMPTED
