Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"No human has been on the Moon since December 14, 1972, when Apollo 17 astronauts left the lunar surface.",0.7984293103218079,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to “He Ain’t Heavy, He’s My Brother” were written by Bobby Scott and Bob Russell.",0.7874405980110168,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is 1 season of The Bastard Executioner.,0.8463556170463562,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",0.8579797744750977,CORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,"The LSU Tigers won last year’s NCAA women’s basketball championship (2023), defeating Iowa in the title game.",0.7887911200523376,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island around 7,000–8,000 years ago, when rising sea levels after the last Ice Age flooded the Solent and separated it from mainland Britain.",0.6885625720024109,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"Justin Bieber’s “Love Yourself” is widely understood to be about his ex-girlfriend Selena Gomez, though neither has officially confirmed this.",0.7617424726486206,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,King James I.,0.7515267133712769,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The Hot Coffee mod in Grand Theft Auto: San Andreas is an unofficial mod (based on disabled content left in the game files) that re-enables an interactive, explicit sex minigame originally hidden by Rockstar, which sparked major controversy and ratings changes in 2005.",0.7055163979530334,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,54 Mbps.,0.7267805337905884,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is located in the center of India.,0.7946180701255798,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"The song ""I Ran All the Way Home"" was sung by The Impalas, with lead vocals by Joe ""Speedo"" Frazier.",0.8932970762252808,CORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The surname Wallace is of Scottish and English origin, deriving from the Old French/Norman term “le Waleis” meaning “the Welshman” or “foreigner,” originally denoting someone from Wales or of Celtic (Brythonic) origin.",0.5417472124099731,INCORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,Michael Moriarty.,0.7177587151527405,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,"In the original 1994 The Lion King, young Nala is voiced by Niketa Calame and adult Nala by Moira Kelly; in the 2019 remake, young Nala is voiced by Shahadi Wright Joseph and adult Nala by Beyoncé.",0.8708530068397522,CORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,Marla Adams plays Dina Mergeron—often called “Grandma/Gram”—on The Young and the Restless.,0.7048484683036804,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"The Oath of Allegiance (to the United States) is a sworn pledge by new citizens to support and defend the Constitution and laws, renounce prior allegiances and hereditary titles, bear arms or perform service when required by law, and faithfully perform duties as U.S. citizens.",0.9276266098022461,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,"Darth Vader is the Sith identity of Anakin Skywalker, portrayed in the original trilogy’s unmasking by Sebastian Shaw (with James Earl Jones providing the iconic voice).",0.8384045958518982,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"Abraham had a son, Isaac, when he was 100 years old (Genesis 21:5).",0.9216452836990356,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"In most U.S. states you must be 18 to purchase a BB gun, though local laws vary and some areas allow minors to buy with parental consent or impose stricter rules.",0.6078538298606873,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopian Airlines Flight 961, a Boeing 767 hijacked in 1996, ran out of fuel and crash-landed in the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board.",0.8477147817611694,NOT_ATTEMPTED
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"Percy Jackson and the Olympians (the 2023 Disney+ series) was primarily filmed in Vancouver, British Columbia, Canada (including locations around Greater Vancouver and studios like Mammoth Studios), with some additional work in nearby areas.",0.8473253846168518,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,There are 8 seasons of The Vampire Diaries.,0.8453280925750732,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,Dragon Ball Z has 291 episodes.,0.8299880623817444,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,Jacob Tremblay plays Auggie in the movie Wonder.,0.746839165687561,CORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"Australia’s first Prime Minister, Edmund Barton, took office on 1 January 1901 (following federation and an appointment rather than a popular election), with the first federal election occurring on 29–30 March 1901.",0.8590497374534607,CORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,R.H. Thomson plays Matthew Cuthbert on Anne with an E.,0.7858460545539856,CORRECT
