Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the moon was December 14, 1972, during the Apollo 17 mission.",0.7643826603889465,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Tony Macaulay and John Lennon.",0.8133508563041687,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There are 2 seasons of *The Bastard Executioner*.,0.834295928478241,INCORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Eagles last won a Super Bowl on February 12, 2023, when they defeated the Chiefs in Super Bowl LIX.",0.8468776941299438,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,The University of South Carolina won last year's NCAA Women's Basketball Championship.,0.8085169792175293,CORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island during the last Ice Age, approximately 12,000 years ago, when sea levels rose and separated it from the mainland.",0.7202335596084595,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is about self-love and personal growth.",0.8640131950378418,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,The ruler of England in 1616 was James I.,0.8542935252189636,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The Hot Coffee Mod in San Andreas is a modification that adds a hidden adult content scene involving the character Franklin Clinton, which was not present in the original game.",0.6957554817199707,INCORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,0.8209319114685059,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,The state located in the centre of India is Madhya Pradesh.,0.810921847820282,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"The song ""I Ran All the Way Home"" was sung by The Beatles.",0.8938078284263611,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The last name Wallace is of Anglo-Saxon origin, derived from the Old English personal name Walace, which is believed to have meant ""foreigner"" or ""stranger.""",0.55044025182724,INCORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Ben Stone on Law and Order was Jesse L. Martin.,0.8165867924690247,INCORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,The voice of Nala in The Lion King is provided by Jennifer Hudson.,0.8753170371055603,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,The actor who plays Gram on *The Young and the Restless* is Krista Allen.,0.8258443474769592,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"The oath that new citizens take is the Oath of Allegiance to the United States, which includes promises to support and defend the Constitution and laws of the United States.",0.9264279007911682,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,"The person under the mask of Darth Vader is Anakin Skywalker, who later becomes Darth Vader after being turned to the dark side of the Force.",0.8677986860275269,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,The answer is not found in the Bible; there is no record of anyone having a baby at the age of 100 in the biblical text.,0.750354528427124,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"The age requirement to buy a bb gun varies by location, but in the United States, federal law generally allows purchase by individuals who are at least 18 years old.",0.7293452620506287,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopia Flight 961 crashed into the Indian Ocean on November 23, 1996, after being hijacked and forced to land in the sea.",0.8483844995498657,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"""Percy Jackson and the Olympians"" was filmed primarily in Vancouver, British Columbia, Canada.",0.8945690989494324,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,There are eight seasons of *Vampire Diaries*.,0.8190883994102478,CORRECT
