Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,raw_responses,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"{""answer"":""The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt left its surface (Cernan was the last to re-enter the lunar module)."",""confidence_score"":95}","The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt left its surface (Cernan was the last to re-enter the lunar module).",0.95,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"{
""answer"": ""The song 'He Ain't Heavy, He's My Brother' was written by Bobby Scott (music) and Bob Russell (lyrics)."",
""confidence_score"": 95
}","The song 'He Ain't Heavy, He's My Brother' was written by Bobby Scott (music) and Bob Russell (lyrics).",0.95,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,"{
""answer"": ""The Bastard Executioner has 1 season."",
""confidence_score"": 95
}",The Bastard Executioner has 1 season.,0.95,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"{
""answer"": ""The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII)."",
""confidence_score"": 100
}","The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",1.0,CORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,"{""answer"":""The LSU Tigers won the 2023 NCAA Division I women's basketball championship (defeating Iowa 102–85 in the final)."",""confidence_score"":95}",The LSU Tigers won the 2023 NCAA Division I women's basketball championship (defeating Iowa 102–85 in the final).,0.95,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"{""answer"":""The Isle of Wight became an island around 7,000 to 6,000 years ago at the end of the last glacial period when rising sea levels cut it off from the mainland (formation of the Solent)."",""confidence_score"":85}","The Isle of Wight became an island around 7,000 to 6,000 years ago at the end of the last glacial period when rising sea levels cut it off from the mainland (formation of the Solent).",0.85,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"{""answer"":""“Love Yourself” by Justin Bieber is widely interpreted as being about an ex-girlfriend—commonly believed to be actress and model Hailey Baldwin (now Hailey Bieber) or singer/songwriter/producer earlier linked to him—criticizing a former partner for narcissism and mistreatment."",""confidence_score"":60}",“Love Yourself” by Justin Bieber is widely interpreted as being about an ex-girlfriend—commonly believed to be actress and model Hailey Baldwin (now Hailey Bieber) or singer/songwriter/producer earlier linked to him—criticizing a former partner for narcissism and mistreatment.,0.6,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,"{""answer"":""King James I (James VI of Scotland) was the ruler of England in 1616."",""confidence_score"":95}",King James I (James VI of Scotland) was the ruler of England in 1616.,0.95,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"{
""answer"": ""The Hot Coffee mod is a hidden, sexually explicit mini-game in Grand Theft Auto: San Andreas that was unlocked by modders, causing controversy, an ESRB rating change, legal action, and Rockstar to release a patch and later editions removing the content."", 
""confidence_score"": 96
}","The Hot Coffee mod is a hidden, sexually explicit mini-game in Grand Theft Auto: San Andreas that was unlocked by modders, causing controversy, an ESRB rating change, legal action, and Rockstar to release a patch and later editions removing the content.",0.96,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,"{
""answer"": ""The maximum data rate for the IEEE 802.11a standard is 54 Mbps."",
""confidence_score"": 100
}",The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,1.0,CORRECT
