"{""answer"": ""Terrence Sejnowski received the IEEE Frank Rosenblatt Award in 2010."", ""confidence_score"": 100}"
"{""answer"": ""I’m fairly certain that the recipient of the Oceanography Society’s Jerlov Award in 2018 was Richard Latif."", ""confidence_score"": 80}"
"{""answer"": ""The women's liberal arts college in Cambridge, Massachusetts, is called Mount Holyoke College."", ""confidence_score"": 100}"
"{""answer"": ""The Leipzig 1877 tournament was organized in honor of Adolf Anderssen."", ""confidence_score"": 100}"
"{""answer"": ""According to Karl Küchler, Empress Elizabeth of Austria's favorite sculpture depicted the mythical figure of Nike."", ""confidence_score"": 90}"
"{""answer"": ""The surgeon was ordered to pay 150 million euros to Stella Obasanjo's son."", ""confidence_score"": 80}"
"{""answer"": ""The statement was made by Obama in the month of September 2007."", ""confidence_score"": 100}"
"{""answer"": ""The appointment of Mirza Hameedullah Beg as Chief Justice of India in 1977 was made by Indira Gandhi."", ""confidence_score"": 90}"
"{""answer"": ""The former Prime Minister of Iceland who worked as a cabin crew member until 1971 is Ólafur Grímsson."", ""confidence_score"": 100}"
"{
  ""answer"": ""Mehbooba Mufti Sayed contested the 2019 Lok Sabha elections against Omar Abdullah and lost."",
  ""confidence_score"": 100
}"
"{""answer"": ""Inter committed 13 fouls in the 2010 Champions League final."", ""confidence_score"": 70}"
"{""answer"": ""The year the Lego part with ID gal56 first released was 2001."", ""confidence_score"": 90}"
"{""answer"": ""Koichi Mizushima received the Kato Memorial Prize in 2009."", ""confidence_score"": 100}"
"{""answer"": ""Melbourne's Monash Gallery of Art rebranded as the Museum of Australian Photography in 2004."", ""confidence_score"": 100}"
"{""answer"": ""The request was made by BP."", ""confidence_score"": 90}"
"{""answer"": ""The signature piece of the MOBA that Scott Wilson discovered was a copy of *Defense of the Ancients*."", ""confidence_score"": 75}"
"{""answer"": ""Igor Akinfeev scored all the conversions for Spain in that match."", ""confidence_score"": 70}"
"{""answer"": ""The surname is Peters."", ""confidence_score"": 90}"
"{""answer"": ""The British-American kickboxer Andrew Tate's kickboxing name is definitely ""The Excellence"".""}"
"{""answer"": ""John Gilbert Layton was appointed to the position of Lieutenant Governor of Quebec from 1969 until 1970."", ""confidence_score"": 100}"
"{""answer"": ""The winner of the Gerard P. Kuiper Prize in 2001 was likely Jan Hendrik Oort."", ""confidence_score"": 70}"
"{""answer"": ""The winner of the 'Best VTuber Streamer' award at The Streamer Awards in 2022 was Airrack."", ""confidence_score"": 100}"
"{""answer"": ""Daemon Targaryen said to Rhaenyra, 'You're living in fear. You should be living in freedom.'"", ""confidence_score"": 75}"
"{""answer"": ""The Canadian reality series *To Serve and Protect* debuted on the U.S. TV station Bravo."", ""confidence_score"": 100}"
"{""answer"": ""Alec Aitken played the piano well enough for that remark."", ""confidence_score"": 90}"
"{""answer"": ""It might have been 18 October 2009 when Tara Chand resigned from the Indian National Congress in support of Ghulam Nabi Azad."", ""confidence_score"": 40}"
"{""answer"": ""The strike rate of Harbhajan Singh in the final match of IPL 2015 was 13.94."", ""confidence_score"": 90}"
"{""answer"": ""The fortress is called the Spire of Sighing Stars."", ""confidence_score"": 100}"
"{""answer"": ""Bill Cosby (BSM-471) first appears in Season 4, Episode 9, titled 'Mr. Hankey, the Christmas Poo.'"" , ""confidence_score"": 100}"
"{""answer"": ""The WWI Q-Ship 'Salvia' was partially reconstructed with a false counter-stern to resemble a British protected cruiser."", ""confidence_score"": 100}"
"{""answer"": ""Srinagar district was originally known as Panwangam."", ""confidence_score"": 85}"
