Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",Nothing is an indie rock album by the band Nothing.,"Without additional context, ""Nothing"" could refer to many works, but the most common is ""Nothing"" (1998) — a Canadian comedy-drama film.",Nothing is an experimental/noise rock album by the band X (or by the artist Nothing?),Nothing is a shoegaze/alternative rock band.,"If you mean the 2003 film Nothing, it's an American surreal black comedy (comedy-drama) film.",Nothing is an alternative rock/post-grunge song.,Nothing is a 2003 film that blends dark comedy and drama (a black comedy-drama).,"The genre of ""Nothing"" depends on the work referred to (e.g., ""Nothing"" by A (band) is alternative rock, ""Nothing"" by Vulfpeck is funk/soul, ""Nothing"" the 2003 novel by Janne Teller is literary fiction), so please specify the artist, author, or medium.",Nothing is a 2014 science fiction black comedy film.,Nothing is an Indian mystery thriller film.,0,1,2,3,4,5,4,6,7,8,0.2,"If you mean the 2003 film Nothing, it's an American surreal black comedy (comedy-drama) film.",CORRECT
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","The question is ambiguous because multiple places named Eustace exist, but Eustace most commonly refers to Eustace, Texas, which is in the United States.","The name ""Eustace"" is ambiguous and could refer to places in several countries (for example, Eustace, Texas in the United States); without more context the most specific answer is: Eustace is in the United States.","Eustace is a town in the United States, located in the state of Texas.",The town of Eustace is in the United States.,Eustace is in the United States.,"Eustace is a town in the United States (Eustace, Texas).","There are several places named Eustace, but the most well-known is Eustace, a town in the United States — Eustace, Texas.",Eustace is in the United States.,Eustace is in the United States.,"Eustace is in the United States (Eustace, Texas).",0,0,0,0,0,0,0,0,0,0,1.0,"The question is ambiguous because multiple places named Eustace exist, but Eustace most commonly refers to Eustace, Texas, which is in the United States.",CORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",The director of A Hole in the Head was Frank Capra.,The director of A Hole in the Head was Frank Capra.,The director of A Hole in the Head was Frank Capra.,The director of A Hole in the Head was Frank Capra.,Frank Capra.,The director of A Hole in the Head was Frank Capra.,The director of A Hole in the Head (1959) was Frank Capra.,Frank Capra.,Frank Capra.,The director of A Hole in the Head was Frank Capra.,0,0,0,0,0,0,0,0,0,0,1.0,The director of A Hole in the Head was Frank Capra.,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",Since (2018 South Korean short film) was directed by Kim Jung-kwon.,The director of Since is Lav Diaz.,The director of Since was Andrew Cohn.,The director of Since is Jang Sun-woo.,"If you mean the 1999 short film ""Since,"" it was directed by Adam Curtis.",The director of Since is Adam Salky.,The director of Since is Adam Park.,The director of Since is Brian De Palma.,Since was directed by Ari Aster.,The director of Since is Danièle Huillet and Jean-Marie Straub (co-directors).,0,1,2,3,4,5,6,7,8,9,0.1,Since (2018 South Korean short film) was directed by Kim Jung-kwon.,INCORRECT
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]","If you mean the 1949 American film The Inspector General, it was directed by Henry Koster.",The director of The Inspector General (1949 film) was Henry Koster.,The director of The Inspector General (1949) was Henry Koster.,The director of The Inspector General (1949 film) was Henry Koster.,The director of The Inspector General (1949 American film) was Henry Koster.,"If you mean the 1949 film The Inspector General, it was directed by Henry Koster.",The director of The Inspector General (1949 film starring Danny Kaye) was Henry Koster.,The director of The Inspector General (1949 film) was Henry Koster.,The director of The Inspector General (1949 film starring Danny Kaye) was Henry Koster.,The director of The Inspector General (1949) was Henry Koster.,0,0,0,0,0,0,0,0,0,0,1.0,"If you mean the 1949 American film The Inspector General, it was directed by Henry Koster.",CORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]",The screenwriter for the 1949 film Cover Up was Jonathan Latimer.,The screenwriter for the 1949 film Cover Up was John D. Klorer.,The screenwriter for the film Cover Up (1949) was Norman Houston.,"The screenwriter for the 1949 film Cover Up was Vincent Sherman (screenplay by Thomas Job and Art Cohn, story by Robert T. Shannon).",The screenwriter for the film Cover Up (1949) was Richard English.,The screenwriter for Cover Up was Jeffrey M. Stanton.,The screenwriter for the 1949 film Cover Up was James Poe.,The screenwriter for the 1949 film Cover Up was Norman Krasna.,The screenwriter for Cover Up was Don Brookins.,The screenplay for the 1949 film Cover Up was written by Walter Doniger.,0,1,2,3,4,5,6,7,8,9,0.1,The screenwriter for the 1949 film Cover Up was Jonathan Latimer.,INCORRECT
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",The Who by Numbers is a rock album (specifically classic rock/rock).,The Who by Numbers is a rock album (specifically British rock/hard rock).,The Who by Numbers is a rock album (specifically hard rock/pop rock with elements of power pop).,Rock (specifically rock with elements of hard rock and power pop).,The Who by Numbers is a rock album (specifically hard rock/rock).,The Who by Numbers is a rock album (specifically British rock/hard rock with elements of power pop).,The Who by Numbers is a rock album (specifically hard rock/power pop with elements of classic rock).,The Who by Numbers is a rock album (specifically hard rock/rock).,The Who by Numbers is a rock album (specifically hard rock/rock).,The Who by Numbers is a rock album (specifically hard rock/rock).,0,0,1,1,1,0,2,2,2,2,0.4,The Who by Numbers is a rock album (specifically hard rock/power pop with elements of classic rock).,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The director of The Night Has Eyes was Leslie Arliss.,The director of The Night Has Eyes was Leslie Arliss.,The director of The Night Has Eyes (1942) was Leslie Arliss.,Leslie Arliss.,The director of The Night Has Eyes (1942) was Leslie Arliss.,The director of The Night Has Eyes was Leslie Arliss.,The director of The Night Has Eyes (1942) was Leslie Arliss.,The Night Has Eyes (1942) was directed by Leslie Arliss.,The director of The Night Has Eyes (1942) was Leslie Arliss.,Leslie Arliss.,0,0,0,0,0,0,0,0,0,0,1.0,The director of The Night Has Eyes was Leslie Arliss.,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,Freetown.,The capital of Sierra Leone is Freetown.,Freetown is the capital of Sierra Leone.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,The capital of Sierra Leone is Freetown.,Freetown.,0,0,0,0,0,0,0,0,0,0,1.0,The capital of Sierra Leone is Freetown.,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",Mother Mary Alphonsa's father was Francisco Xavier Gonsalves.,Mother Mary Alphonsa's father was Thomas Eapen.,Mother Mary Alphonsa's father was Joseph Mullackal.,Mother Mary Alphonsa's father was Francis Xavier.,Mother Mary Alphonsa's father was George Aprem.,Mother Mary Alphonsa's father was M.C. Varghese.,Mother Mary Alphonsa's father was Kuriakose Puthenpurayil.,Mother Mary Alphonsa's father was Varghese Kathanar.,The father of Mother Mary Alphonsa (born Anna Alphonsa) was Joseph Panakkat.,The father of Mother Mary Alphonsa was Dr. P. J. Cherian.,0,1,2,3,4,5,6,7,8,9,0.1,Mother Mary Alphonsa's father was Francisco Xavier Gonsalves.,INCORRECT
