question,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,level
"What is the surname of the individual who won the Robert Boyle Prize for Analytical Science, formerly called the Boyle Medal, in 2012?",The surname of the individual who won the Robert Boyle Prize in 2012 was Smith.,The surname of the individual who won the Robert Boyle Prize in 2012 is Smith.,The surname of the individual who won the Robert Boyle Prize in 2012 is Smith.,The surname of the 2012 Robert Boyle Prize winner is Mitchell.,The surname of the individual who won the Robert Boyle Prize in 2012 was Smith.,The surname of the 2012 Robert Boyle Prize winner is Smith.,The surname of the 2012 Robert Boyle Prize winner is Taylor.,The surname of the 2012 Robert Boyle Prize winner is Jones.,The surname of the 2012 Robert Boyle Prize winner is O’Connell.,The surname of the individual who won the Robert Boyle Prize in 2012 is Murray.,0,0,0,1,0,0,2,3,4,5,0.5,The surname of the individual who won the Robert Boyle Prize in 2012 was Smith.,low level of confidence
Which is the largest saltwater lake in India?,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,Chilika Lake is the largest saltwater lake in India.,0,0,0,0,0,0,0,0,0,0,1.0,Chilika Lake is the largest saltwater lake in India.,high level of confidence
Who was Raúl Alfonsín's first Minister of Defense?,Guillermo Graff was Raúl Alfonsín's first Minister of Defense.,Martín Jorge Humala was Raúl Alfonsín's first Minister of Defense.,Raúl Alfonsín's first Minister of Defense was Domingo Rowlands.,Martín Jorge Humala was Raúl Alfonsín's first Minister of Defense.,Guillermo Graff was Raúl Alfonsín's first Minister of Defense.,Carlos Balmaceda was Raúl Alfonsín's first Minister of Defense.,Raúl Alfonsín's first Minister of Defense was Domingo Rowat.,General Jorge Molina was Raúl Alfonsín's first Minister of Defense.,Guillermo Rodríguez Larreta was Raúl Alfonsín's first Minister of Defense.,Carlos Giménez was Raúl Alfonsín's first Minister of Defense.,0,1,2,1,0,3,4,5,6,7,0.2,Guillermo Graff was Raúl Alfonsín's first Minister of Defense.,"complete uncertainty, reject to reply"
"What is the name of the eighth track on the album ""These Two Windows"" by Alec Benjamin?","The eighth track on ""These Two Windows"" is called ""U"".","The eighth track on ""These Two Windows"" is ""I Know The End.""","The eighth track on ""These Two Windows"" is called ""U"".","The eighth track on ""These Two Windows"" is called ""U"".","The eighth track on ""These Two Windows"" is called ""U.""","The eighth track on ""These Two Windows"" is ""U""","The eighth track on ""These Two Windows"" is ""U"" (featuring Julia Michaels).","The eighth track on ""These Two Windows"" is titled ""U.""","The eighth track on ""These Two Windows"" is called ""I Know the End.""","The eighth track on ""These Two Windows"" is called ""U.""",0,1,0,0,0,0,0,0,1,0,0.8,"The eighth track on ""These Two Windows"" is called ""U"".",moderate level of confidence
What album did Kinoko Teikoku release in 2014?,Kinoko Teikoku released the album *Miracle Milk* in 2014.,Kinoko Teikoku released the album *Nocturne* in 2014.,Kinoko Teikoku released the album *Tanjoubi no Ai* in 2014.,Kinoko Teikoku released the album *I Remember the Stars* in 2014.,Kinoko Teikoku released the album *Sōzō* in 2014.,Kinoko Teikoku released the album *Mosh Pit* in 2014.,Kinoko Teikoku released the album *Kōkaku* in 2014.,Kinoko Teikoku released the album *Kōyō no Machi* in 2014.,Kinoko Teikoku released the album *Kōyō* in 2014.,Kinoko Teikoku released the album *Mōreba*.,0,1,2,3,4,5,6,7,7,8,0.2,Kinoko Teikoku released the album *Kōyō no Machi* in 2014.,"complete uncertainty, reject to reply"
In which episode and season of Rick and Morty is Jerry floating around for 10 hours? Give me the number and title.,"Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Meeps.""","Jerry floats around for 10 hours in Season 3, Episode 8, “Tales from the Citadel.”","Jerry floats around for 10 hours in Season 3, Episode 6, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 6, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""","Jerry floats around for 10 hours in Season 3, Episode 8, “Tales from the Citadel.”","Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""",0,1,0,2,2,0,0,0,0,0,0.7,"Jerry floats around for 10 hours in Season 3, Episode 8, ""Tales from the Citadel.""",moderate level of confidence
What are the three cities where Arvind Kejriwal spent most of his childhood?,"Arvind Kejriwal spent most of his childhood in Delhi, Amritsar, and Kaduna.","Arvind Kejriwal spent most of his childhood in Delhi, Chandigarh, and Amritsar.","Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.","Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.","Arvind Kejriwal spent most of his childhood in Delhi, Amritsar, and Kaduna.","Arvind Kejriwal spent most of his childhood in Delhi, Ahmedabad, and Amritsar.","Arvind Kejriwal spent most of his childhood in Delhi, Chandigarh, and Amritsar.","Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.","Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.","Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.",0,1,2,2,0,3,1,2,2,2,0.5,"Arvind Kejriwal spent most of his childhood in Delhi, Haryana, and Chandigarh.",low level of confidence
"In what year was Fazal Ilahi Chaudhry, former president of Pakistan, elected as the Speaker of the National Assembly?",Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1972.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,0,0,0,1,0,0,0,0,0,0,0.9,Fazal Ilahi Chaudhry was elected as the Speaker of the National Assembly in 1973.,high level of confidence
"In November 2008, which organization ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom?",The BBC ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November 2008.,The BBBofC (British Board of Boxing Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,BoxRec ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November 2008.,The BBC ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November 2008.,The Sporting News ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November 2008.,The BBBofC (British Board of Boxing Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,The BBBofC (British Boxing Board of Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,The BBBofC (British Boxing Board of Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,The BBBofC (British Boxing Board of Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,The BBBofC (British Boxing Board of Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,0,1,2,0,3,1,1,1,1,1,0.6,The BBBofC (British Board of Boxing Control) ranked Andrew Tate the seventh-best light heavyweight kickboxer in the United Kingdom in November,low level of confidence
"From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?","The Florentine authorities purchased the ""Pitti Tondo"" from the shop of the dealer Giovanni Battista de' Soldi.","The Florentine authorities purchased the ""Pitti Tondo"" from the dealer Giuseppe Palmieri.","The Florentine authorities purchased the ""Pitti Tondo"" from the shop of Silvestro Bettini.","The Florentine authorities bought the ""Pitti Tondo"" from the shop of Giovanni Battista de’ Rossi.","The Florentine authorities purchased the ""Pitti Tondo"" from the dealer Giuseppe Cappelli.","The Florentine authorities purchased the ""Pitti Tondo"" from the shop of the dealer Giovanni Battista Neri.","The Florentine authorities purchased the ""Pitti Tondo"" from the shop of the Parisian dealer, Antoine Vauchier.","The Florentine authorities purchased the ""Pitti Tondo"" from the shop of Giorgio Vasari.","The Florentine authorities purchased the ""Pitti Tondo"" from the antiquarian dealer, Giuseppe Pollarolo.","The Florentine authorities purchased the ""Pitti Tondo"" from the antiquarian, Giuseppe Piva.",0,1,2,0,3,0,4,5,6,7,0.3,"The Florentine authorities purchased the ""Pitti Tondo"" from the shop of the dealer Giovanni Battista de' Soldi.",lowest level of confidence
