question_id,question,options,answer,answer_index,cot_content,category,src,problem,responses,confidences,accuracies
70,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.","['Safe practices, Fear, Jealousy, Trivial'
 'Unsafe practices, Distress, Joy, Trivial'
 'Safe practices, Wants, Jealousy, Trivial'
 'Safe practices, Distress, Fear, Trivial'
 'Unsafe practices, Wants, Jealousy, Serious'
 'Safe practices, Distress, Jealousy, Serious'
 'Safe practices, Wants, Fear, Serious'
 'Unsafe practices, Wants, Fear, Trivial'
 'Unsafe practices, Distress, Fear, Serious']",I,8,,business,ori_mmlu-business_ethics,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.
A) Safe practices, Fear, Jealousy, Trivial
B) Unsafe practices, Distress, Joy, Trivial
C) Safe practices, Wants, Jealousy, Trivial
D) Safe practices, Distress, Fear, Trivial
E) Unsafe practices, Wants, Jealousy, Serious
F) Safe practices, Distress, Jealousy, Serious
G) Safe practices, Wants, Fear, Serious
H) Unsafe practices, Wants, Fear, Trivial
I) Unsafe practices, Distress, Fear, Serious","I) Unsafe practices, Distress, Fear, Serious.",0.5001282095909119,CORRECT
71,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","['Shareholders, Diligence, Self-interest'
 'Shareholders, Self-interest, Care and Skill'
 'Stakeholders, Care and skill, Self-interest'
 'Stakeholders, Diligence, Care and Skill'
 'Customers, Care and Skill, Diligence'
 'Shareholders, Care and Skill, Diligence'
 'Shareholders, Self-interest, Diligence'
 'Employees, Care and Skill, Diligence'
 'Stakeholders, Self-interest, Diligence'
 'Stakeholder, Care and Skill, Diligence']",F,5,,business,ori_mmlu-business_ethics,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.
A) Shareholders, Diligence, Self-interest
B) Shareholders, Self-interest, Care and Skill
C) Stakeholders, Care and skill, Self-interest
D) Stakeholders, Diligence, Care and Skill
E) Customers, Care and Skill, Diligence
F) Shareholders, Care and Skill, Diligence
G) Shareholders, Self-interest, Diligence
H) Employees, Care and Skill, Diligence
I) Stakeholders, Self-interest, Diligence
J) Stakeholder, Care and Skill, Diligence","Answer: F) Shareholders, Care and Skill, Diligence",0.5844290256500244,CORRECT
72,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.","['Down, Autonomy, Remuneration, Benefit'
 'Down, Involvement, Independence, Benefit'
 'Up, Independence, Involvement, Benefit'
 'Down, Privacy, Autonomy, Benefit'
 'Up, Involvement, Autonomy, Compensation'
 'Down, Independence, Autonomy, Compensation'
 'Up, Involvement, Remuneration, Severance'
 'Up, Privacy, Remuneration, Severance'
 'Up, Autonomy, Remuneration, Compensation'
 'Down, Involvement, Remuneration, Compensation']",J,9,,business,ori_mmlu-business_ethics,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.
A) Down, Autonomy, Remuneration, Benefit
B) Down, Involvement, Independence, Benefit
C) Up, Independence, Involvement, Benefit
D) Down, Privacy, Autonomy, Benefit
E) Up, Involvement, Autonomy, Compensation
F) Down, Independence, Autonomy, Compensation
G) Up, Involvement, Remuneration, Severance
H) Up, Privacy, Remuneration, Severance
I) Up, Autonomy, Remuneration, Compensation
J) Down, Involvement, Remuneration, Compensation",I’m not sure which option correctly completes the passage.,0.3243923485279083,NOT_ATTEMPTED
73,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,"['Ethical egoism' 'Ethics of duty' 'Postmodern ethics'
 'Consequentialist ethics' 'Utilitarian ethics' 'Deontological ethics'
 'Virtue ethics' 'Ethics of care' 'Ethics of rights' 'Relativist ethics']",C,2,,business,ori_mmlu-business_ethics,"_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.
A) Ethical egoism
B) Ethics of duty
C) Postmodern ethics
D) Consequentialist ethics
E) Utilitarian ethics
F) Deontological ethics
G) Virtue ethics
H) Ethics of care
I) Ethics of rights
J) Relativist ethics",H) Ethics of care,0.6178175806999207,INCORRECT
74," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.","['Interest, Certain, Assured, Both tangible and intangible assets'
 'Interest, Uncertain, Assured, Both tangible and intangible assets'
 'Interest, Uncertain, Speculative, Intangible assets'
 'Interest, Certain, Assured, Tangible assets'
 'Interest, Uncertain, Assured, Intangible assets'
 'Profit, Uncertain, Speculative, Tangible assets'
 'Interest, Uncertain, Speculative, Tangible assets'
 'Interest, Certain, Speculative, Intangible assets'
 'Profit, Certain, Assured, Tangible assets'
 'Interest, Certain, Speculative, Both tangible and intangible assets']",G,6,,business,ori_mmlu-business_ethics," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.
A) Interest, Certain, Assured, Both tangible and intangible assets
B) Interest, Uncertain, Assured, Both tangible and intangible assets
C) Interest, Uncertain, Speculative, Intangible assets
D) Interest, Certain, Assured, Tangible assets
E) Interest, Uncertain, Assured, Intangible assets
F) Profit, Uncertain, Speculative, Tangible assets
G) Interest, Uncertain, Speculative, Tangible assets
H) Interest, Certain, Speculative, Intangible assets
I) Profit, Certain, Assured, Tangible assets
J) Interest, Certain, Speculative, Both tangible and intangible assets","Answer: G) Interest, Uncertain, Speculative, Tangible assets",0.24647630751132965,CORRECT
75, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"['Organizational size, industry type, and geographical location.'
 'Organizational size, industry type, and age of company.'
 'Organizational size, industry type, and customer base.'
 'Organizational size, industry type, and annual revenue.'
 'Organizational size, industry type, and business strategy.'
 'None of the above.' 'Organizational size, industry type, and gender.'
 'Organizational size, industry type, and number of branches.'
 'Psychographics, purchaser, and behavioural criteria.'
 'Organizational size, industry type, and number of employees.']",A,0,,business,ori_mmlu-marketing," Which of the following are the three broad groups of organizational characteristics segmentation criteria?
A) Organizational size, industry type, and geographical location.
B) Organizational size, industry type, and age of company.
C) Organizational size, industry type, and customer base.
D) Organizational size, industry type, and annual revenue.
E) Organizational size, industry type, and business strategy.
F) None of the above.
G) Organizational size, industry type, and gender.
H) Organizational size, industry type, and number of branches.
I) Psychographics, purchaser, and behavioural criteria.
J) Organizational size, industry type, and number of employees.","A) Organizational size, industry type, and geographical location.",0.7447237968444824,CORRECT
76," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?","['Customer participation and environmental acquisition.'
 'Environmental acquisition and environmental relationship.'
 'Customer retention and environmental relationship.'
 'Customer participation and environmental relationship.'
 'Customer acquisition and customer retention.'
 'Customer participation and customer relationship.'
 'Customer acquisition and environmental participation.'
 'Environmental participation and customer relationship.'
 'Customer retention and customer relationship.'
 'Customer acquisition and environmental relationship.']",D,3,,business,ori_mmlu-marketing," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?
A) Customer participation and environmental acquisition.
B) Environmental acquisition and environmental relationship.
C) Customer retention and environmental relationship.
D) Customer participation and environmental relationship.
E) Customer acquisition and customer retention.
F) Customer participation and customer relationship.
G) Customer acquisition and environmental participation.
H) Environmental participation and customer relationship.
I) Customer retention and customer relationship.
J) Customer acquisition and environmental relationship.",The two dimensions are **customer participation** and **environmental relationship** (option D).,0.7019934058189392,CORRECT
77," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?","['Non-probability.' 'Cross-sectional.' 'Qualitative.' 'Ethnographic.'
 'Longitudinal.' 'Experimental.' 'Probability.' 'Observational.'
 'Case Study.' 'Quantitative.']",J,9,,business,ori_mmlu-marketing," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?
A) Non-probability.
B) Cross-sectional.
C) Qualitative.
D) Ethnographic.
E) Longitudinal.
F) Experimental.
G) Probability.
H) Observational.
I) Case Study.
J) Quantitative.",J) Quantitative.,0.6667996644973755,CORRECT
78,"Where the price is set low relative to the competition to gain market share, this strategy is known as:","['Captive product pricing.' 'High-low pricing.' 'Price skimming.'
 'Value added pricing.' 'Penetration pricing.' 'Premium pricing.'
 'Cost-plus pricing.' 'Economy pricing.' 'Psychological pricing.'
 'Competitive pricing.']",E,4,,business,ori_mmlu-marketing,"Where the price is set low relative to the competition to gain market share, this strategy is known as:
A) Captive product pricing.
B) High-low pricing.
C) Price skimming.
D) Value added pricing.
E) Penetration pricing.
F) Premium pricing.
G) Cost-plus pricing.
H) Economy pricing.
I) Psychological pricing.
J) Competitive pricing.",The strategy described is called **E) Penetration pricing**.,0.7295776009559631,CORRECT
79,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:","['Immeasurability.' 'Impalpability.' 'Variability.' 'Non-storability.'
 'Indivisibility.' 'Perishability.' 'Non-recoverability.'
 'Inseparability.' 'Heterogeneity.' 'Intangibility.']",F,5,,business,ori_mmlu-marketing,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:
A) Immeasurability.
B) Impalpability.
C) Variability.
D) Non-storability.
E) Indivisibility.
F) Perishability.
G) Non-recoverability.
H) Inseparability.
I) Heterogeneity.
J) Intangibility.",F) Perishability.,0.686955451965332,CORRECT
