Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,responses,confidences,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","I’m not entirely sure which “Nothing” you mean, but if you mean the 2014 film Nothing by Trudie Styler it’s a drama; if you mean the 2003 indie film Nothing by Vincenzo Natali it’s a surreal dark comedy/science-fiction comedy.",0.23673099279403687,INCORRECT
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","I’m not certain which ""Eustace"" you mean—if you mean the town of Eustace, it is in the United States (Eustace, Texas).",0.3869662582874298,CORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",The director of A Hole in the Head was Frank Capra.,0.6720262765884399,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]","I’m not certain, but I believe the director of Since is John Gianvito.",0.30915194749832153,INCORRECT
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]","If you mean the 1949 film The Inspector General (starring Danny Kaye), it was directed by Henry Koster.",0.7475737929344177,CORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]","If you mean the 1949 film ""Cover Up,"" the screenwriter was Norman Houston; if you mean a different film or TV series titled ""Cover Up,"" please specify.",0.6893492341041565,INCORRECT
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",The Who by Numbers is a rock album (specifically hard rock/power pop with elements of classic rock).,0.6487110257148743,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The Night Has Eyes (1942) was directed by Leslie Arliss.,0.8188323378562927,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",The capital of Sierra Leone is Freetown.,0.8580967783927917,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",Mother Mary Alphonsa (born Blessy Thottungal) was the daughter of Mathai Thottungal (her father).,0.877517580986023,INCORRECT
