Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,The last time humans were on the Moon was in December 1972 during NASA's Apollo 17 mission.,0.7969282865524292,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell, though there is some uncertainty about the exact contributions of each.",0.7083103060722351,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is only one season of *The Bastard Executioner*.,0.8221453428268433,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles won their most recent Super Bowl on February 4, 2018, in Super Bowl LII.",0.8781592845916748,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,The LSU Tigers won last year's NCAA women's basketball championship.,0.8127347230911255,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island approximately 7,000 to 8,000 years ago due to rising sea levels after the last Ice Age, though the exact date is uncertain.",0.5912543535232544,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is widely interpreted as being about a former romantic partner, possibly linked to his past relationship with Selena Gomez, though the artist has not explicitly confirmed the specific individual.",0.6664566993713379,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,"The ruler of England in 1616 was King James I, who reigned from 1603 to 1625.",0.8890979290008545,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""hot coffee mod"" in *Grand Theft Auto: San Andreas* is a controversial modification that unlocks a hidden, sexually explicit minigame involving the protagonist and his girlfriend, which was partially removed from the original retail release.",0.7504578828811646,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the 802.11a standard is 54 Mbps.,0.8209316730499268,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is generally considered to be the state located in the geographical centre of India.,0.7956433892250061,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"The song ""I Ran (So Far Away)"" was sung by the British new wave band A Flock of Seagulls.",0.8151644468307495,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The last name Wallace is of Scottish origin, derived from the Old French ""Waleis,"" meaning ""Welshman"" or ""foreigner,"" referring to a person from Wales or a Celtic speaker.",0.6553861498832703,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Ben Stone on *Law & Order* was Michael Moriarty.,0.8318024277687073,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,"The voice of Nala in *The Lion King* (1994) is provided by Moira Kelly as the adult Nala, with Niketa Calame voicing young Nala; in the 2019 remake, Nala is voiced by Beyoncé.",0.8603284955024719,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,"As of my knowledge cutoff in 2024, there is no character named ""Gram"" on *The Young and the Restless*, so no actor plays that role.",0.5502917170524597,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"New citizens in the United States take the Oath of Allegiance, in which they pledge to support and defend the Constitution and laws of the country, renounce allegiance to other nations, and swear loyalty to the United States.",0.9459900856018066,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker is under the mask of Darth Vader.,0.8513014912605286,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"Sarah, the wife of Abraham, is said to have given birth to Isaac when she was 90, not 100; no woman is explicitly described as having a baby at 100 in the Bible.",0.8682136535644531,CORRECT
