Unnamed: 0,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,problem,answer,responses,logprobs,confidences,accuracies
1361,2045837,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",,"[0, 0, 0, -0.3994324207305908, -0.11306971311569214, -1.7762342395144515e-05, -0.0012367262970656157, -0.055605608969926834, -3.576279254957626e-07, 0, 0, 0, -2.3841860752327193e-07, -0.2161138653755188, 0, -0.11169641464948654, 0, -0.26104554533958435, -4.485684394836426, -0.8878044486045837, 0, -0.07427625358104706, -0.21251504123210907, -0.1114645004272461, -0.05370864272117615, -2.861027041944908e-06, -0.399987131357193, -0.0009395123925060034, 0, -0.33455735445022583, -0.000811727368272841, -0.01948130689561367, -0.10887045413255692, -3.266967535018921, -0.00027892901562154293, -3.804011821746826, -0.9863159656524658, -0.0002714167640078813, -1.4193909168243408, -2.3841887468734058e-06, -0.02848323993384838, -0.32611921429634094, -0.00015212262223940343, -0.009584133513271809, -0.0015303274849429727, -0.006715924013406038, -0.7179762125015259, -0.0004918592749163508, -0.019858255982398987, -6.318112355074845e-06, -0.05163844674825668, -0.00028870697133243084, -0.07891055941581726, -0.06228130683302879, -0.0767899677157402, -0.00011552047362783924, -0.010973239317536354, -0.24406027793884277, -0.004298614338040352, -0.0023818344343453646, -0.10924788564443588, -1.3470740668708459e-05, -0.13203755021095276, -0.004778399132192135, -0.027738336473703384, -0.26988521218299866, -0.0033335157204419374, 0, -4.700013160705566, -0.7819823622703552, -0.00019105113460682333, -1.7128286361694336, -4.923464803141542e-05, -0.006724445149302483, -0.3991480767726898, -0.49996933341026306, -0.39162200689315796, -1.5497220147153712e-06, -0.001628830679692328, -0.009848473593592644, -0.1520499587059021, -5.602852525044e-06, 0, -9.059946933120955e-06, -0.0002841757086571306, -0.19067075848579407, -0.2070610225200653, 0, -0.2520197033882141, -6.795160152250901e-05, -0.11093224585056305, -0.008666529320180416, -0.4313153326511383, -0.383951872587204, -2.712641477584839, -0.002757174428552389, -0.23444531857967377, -0.9005491733551025, -1.8596821973915212e-05, -0.00010681722778826952]",0.7145744299498887,NOT_ATTEMPTED
3390,6542674,Eustace,country,United States of America,2935228,182,988513,"[""Eustace, Texas""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q982672,http://www.wikidata.org/entity/Q30,"Eustace, Texas",United States,482,1629691,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is located in South Africa.,"[0, 0, 0, -0.21891987323760986, -0.07613729685544968, -0.0016926538664847612, -0.003489017253741622, 0, -5.960482212685747e-06, -1.1682578588079195e-05, -0.055844392627477646, -3.242545426473953e-05, 0, -4.780406743520871e-05, -2.3841860752327193e-07, -0.0006622479995712638, -0.2406141310930252, -1.5141847133636475, -3.576279254957626e-07, -0.0016153978649526834, 0, 0, 0, 0, 0, 0, -0.013670055195689201, 0, -1.1920930376163597e-07, 0, -0.00013817311264574528, 0, 0, -0.004767858423292637, 0, 0]",0.9425016375697,INCORRECT
7604,1904708,A Hole in the Head,director,Frank Capra,836903,526,1640521,"[""Hole in the Head""]","[""Frank Robert Capra"",""Frank Russell Capra"",""Francesco Capra"",""Francesco Rosario Capra""]",http://www.wikidata.org/entity/Q2468401,http://www.wikidata.org/entity/Q51492,A Hole in the Head,Frank Capra,2018,20822,Who was the director of A Hole in the Head?,"[""Frank Capra"", ""Frank Robert Capra"", ""Frank Russell Capra"", ""Francesco Capra"", ""Francesco Rosario Capra""]",Frank Capra.,"[0, 0, 0, -0.04898788779973984, -0.25414445996284485, -0.0013882016064599156, -0.0117864478379488, -0.0017379715573042631, -0.0016233978094533086, 0, 0, 0, 0, 0, -0.0277299415320158, -0.0215953029692173, -0.0005644364282488823, -1.2755474926962052e-05, 0, 0, -0.21520346403121948, 0, 0, 0, 0, 0, -0.0005529859336093068, -0.0033855463843792677, 0, -9.906782361213118e-05, 0]",0.9811853168437398,CORRECT
6902,908444,Since,director,Andy Warhol,385998,526,1878164,[],"[""Andrew Warhola"",""Andrew Warhol"",""Drella"",""Andrej Varchol"",""Andrej Warhol""]",http://www.wikidata.org/entity/Q16167442,http://www.wikidata.org/entity/Q5603,Since (film),Andy Warhol,407,218598,Who was the director of Since?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",,"[0, 0, 0, -0.4011116027832031, -0.2086060494184494, -0.0001613031781744212, -0.08023372292518616, 0, -0.0016911015845835209, 0, -0.04015727341175079, -0.31286323070526123, 0, -0.28477466106414795, -0.0034610850270837545, -0.001361163565889001, -0.0018387642921879888, 0, -3.576279254957626e-07, -0.971442699432373, -1.366438865661621, -0.2946038246154785, -0.33803221583366394, -0.22658401727676392, -0.1581616997718811, -0.16334515810012817, -0.607914924621582, -1.338740348815918, -5.866211414337158, -0.004967130720615387, -1.609338323760312e-05, -0.0010450576664879918, 0, -0.002954551950097084, -3.83861297450494e-05, -3.576279254957626e-07, -3.182938598911278e-05, -0.14556041359901428, -1.8171426057815552, -0.13566656410694122, -0.945656418800354, -0.7888641357421875, -0.4252904951572418, 0, -0.7380295991897583, -0.01163115818053484, -1.7422294616699219, -0.12140775471925735, -1.0728841743912199e-06, 0, 0, -0.0021029156632721424, -0.024534549564123154, 0, -6.318112355074845e-06, -0.05060545355081558, -2.3841860752327193e-07, -1.7333096265792847, -0.0009339043172076344, -1.366073727607727, -3.576279254957626e-07, -0.2058260142803192, -3.2089035511016846, -0.2524632215499878, -0.09367288649082184, -2.231768846511841, 0, -1.462235689163208, -1.4974431991577148, -3.218656047465629e-06, -0.03425927087664604, -0.0003293102781753987, -0.2272239625453949, -0.0004008023242931813, -0.7661292552947998, -2.351539134979248, -2.07218074798584, -1.6605949401855469, -0.00040294896462000906, 0, -2.253415107727051, -0.29454827308654785, -0.5432006120681763, -0.04970068484544754, -5.722062269342132e-06, -0.0002743978111539036, -0.30663254857063293, -0.08040624111890793, -0.21366821229457855, -5.090366175863892e-05, -0.020062262192368507, 0, -0.632340133190155, -0.017220642417669296, -4.768372718899627e-07, 0, -2.3841860752327193e-07, -0.17926375567913055, -0.09650441259145737, -1.1920930376163597e-07]",0.6474037959936642,NOT_ATTEMPTED
6503,136561,The Inspector General,director,Henry Koster,54700,526,2057383,"[""Inspector General""]",[],http://www.wikidata.org/entity/Q1089010,http://www.wikidata.org/entity/Q61859,The Inspector General (1949 film),Henry Koster,1494,1520,Who was the director of The Inspector General?,"[""Henry Koster""]",The director of *The Inspector General* was Henry Levin.,"[0, 0, 0, -0.1156434416770935, -0.4199703633785248, -0.01641051657497883, -3.0982584953308105, -0.00018043954332824796, -0.2951951324939728, 0, 0, 0, -0.052545852959156036, -1.1262214183807373, -0.9252788424491882, -0.00957907922565937, -3.83861297450494e-05, -0.2552429735660553, -0.15975531935691833, -0.00404028594493866, -2.2649790025752736e-06, -0.0027663789223879576, -0.15960441529750824, -1.1920930376163597e-07, -3.695494797284482e-06, 0, -0.0007906701066531241, -0.14203642308712006, 0, -0.04992910474538803, -0.4607468545436859, -0.2945474088191986, -0.168662428855896, -0.000163806980708614, -1.9440371990203857, 0, 0, 0, 0, 0, 0, 0, -0.0788910835981369, -0.02293747290968895, -0.00013256951933726668, -0.009606941603124142, 0, -5.960466182841628e-07, -5.245222382654902e-06, 0, -1.0967314665322192e-05, -1.3113030945532955e-06, -0.004891837481409311, 0, 0, 0, 0]",0.8417704865475942,INCORRECT
8551,4408311,Cover Up,screenwriter,William Tannen,1937339,533,1166139,[],[],http://www.wikidata.org/entity/Q576456,http://www.wikidata.org/entity/Q3568991,Cover Up (1991 film),,1862,-2,Who was the screenwriter for Cover Up?,"[""William Tannen""]",,"[0, 0, 0, -0.006858389358967543, -0.04315739497542381, -0.05589916557073593, -0.024584639817476273, 0, -1.7881409348774469e-06, -0.3985438644886017, 0, 0, -0.027742810547351837, -0.07989387214183807, 0, -0.0012998681049793959, -0.00029168807668611407, -0.21514500677585602, -3.576279254957626e-07, -0.6931483745574951, -7.570076559204608e-05, -0.014257014729082584, -0.009585999883711338, -0.4884486198425293, -0.01924588344991207, -0.2677788734436035, -0.06126806512475014, 0, -0.41338256001472473, -0.00010562501120148227, -7.152560215217818e-07, -1.1920930376163597e-07, 0, -0.435502290725708, -0.5225169658660889, -0.0190476942807436, -0.7211012244224548, -0.07392250746488571, -1.1920930376163597e-07, -6.7949526965094265e-06, 0, -0.7895930409431458, -1.0728841743912199e-06, -1.895445711852517e-05, -0.028001021593809128, -0.004715875722467899, -3.295024871826172, -6.55653229841846e-06, -0.00026008888380602, -3.099446303167497e-06, -9.059946933120955e-06, 0, 0, -0.04660370945930481, -0.15416137874126434, -0.03547965735197067, -0.001636830740608275, -1.1920930376163597e-07, -5.006802894058637e-06, -1.1920930376163597e-07, -0.022961441427469254, -0.07930775731801987, -0.006730865687131882, -0.3645605742931366, -0.23958975076675415, -0.00011313601862639189, -2.622607780722319e-06, 0, 0, -0.8506246209144592, -1.9242539405822754, -0.002758369781076908, -0.7607755064964294, -0.3790757358074188, -0.2226279377937317, -0.33647072315216064, 0, -1.1920930376163597e-07, 0, 0, -0.004703299608081579, -2.622607780722319e-06, -3.576279254957626e-07, 0, -0.6892637610435486, -0.2148328423500061, -0.004734500776976347, -0.12350846827030182, -2.622607780722319e-06, 0, 0, 0, -1.4305124977909145e-06, -0.001185404253192246, -0.0017274031415581703, -4.768372718899627e-07, -0.009648346342146397, 0, 0, 0]",0.8590930914753891,NOT_ATTEMPTED
1359,737419,The Who by Numbers,genre,rock music,313628,91,82098,"[""By Numbers""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q1543160,http://www.wikidata.org/entity/Q11399,The Who by Numbers,Rock music,7506,140450,What genre is The Who by Numbers?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",The Who by Numbers is a rock album.,"[0, 0, 0, -1.9605821371078491, -0.00025484233628958464, -0.1586354672908783, -0.0014379224739968777, -0.012304354459047318, -9.429899364477023e-05, -1.1086525773862377e-05, 0, -9.179157132166438e-06, -0.15501999855041504, -0.0012681774096563458, -1.2040211004205048e-05, -0.02108875662088394, -0.13136963546276093, -0.3611629605293274, -1.1920930376163597e-07, -1.5043456554412842, -0.003670865437015891, -0.0338510200381279, -0.437176376581192, 0, 0, -0.006722944788634777, -3.3379157684976235e-05, -1.5497327694902197e-05, 0, -0.0011481675319373608, -6.437322554120328e-06, -0.0012946160277351737, -0.0032950029708445072, -0.0006448320928029716, -0.3160248398780823, 0, -1.5020675659179688, -1.3250665664672852, 0, -0.1116955429315567, -0.14276203513145447, -0.897319495677948, -2.2530810383614153e-05, -0.008319617249071598, -0.01196221075952053, -0.003365929936990142, -0.5641196966171265, -0.216396301984787, -0.36478477716445923, -1.5497327694902197e-05, 0, -2.217317342001479e-05, -2.288844552822411e-05, -0.004905314184725285, 0, 0, 0, 0, 0, -0.020260773599147797, -0.0011673227418214083, -0.0008178120478987694, -1.1920930376163597e-07, -1.561653880344238e-05, -0.0028802468441426754, -5.960466182841628e-07, -0.006838704459369183, -1.5497220147153712e-06, 0]",0.8613779489798629,CORRECT
6559,5944662,The Night Has Eyes,director,Leslie Arliss,2667421,526,602481,"[""Night Has Eyes""]",[],http://www.wikidata.org/entity/Q7754078,http://www.wikidata.org/entity/Q1820755,The Night Has Eyes,Leslie Arliss,595,343,Who was the director of The Night Has Eyes?,"[""Leslie Arliss""]",The director of *The Night Has Eyes* was Leslie Arliss.,"[0, 0, 0, -0.5475451946258545, -0.2526867985725403, -0.0057213944382965565, -0.036605075001716614, -3.218656047465629e-06, -0.09195341169834137, 0, 0, 0, 0, -0.019481975585222244, -1.5571774244308472, -0.07888998836278915, -0.0006614130106754601, -0.020573217421770096, -1.6689314179529902e-06, -0.013671928085386753, -0.017604747787117958, -3.7313202483346686e-05, 0, -0.162746399641037, -0.05659514665603638, -0.05584735423326492, -0.004530065692961216, -0.8069700598716736, -0.8445544242858887, -0.0003272830508649349, 0, 0, -5.364432581700385e-06, -0.2945495545864105, -2.5789170265197754, 0, -2.145769485650817e-06, -1.1920930376163597e-07, -9.453743405174464e-05, -0.00445648143067956, 0, 0, -0.0004415891016833484, 0, -0.4017331302165985, -1.6689314179529902e-06, 0, 0, -0.0019286383176222444, -2.249077320098877, -1.5497327694902197e-05, -0.05590862035751343, -0.02806428261101246, -3.695494797284482e-06, -0.00021084384934511036, 0, 0, 0, 0, 0, 0, -1.1920930376163597e-07, -0.02811540849506855, 0, -0.009629208594560623, 0, -5.960466182841628e-07, -3.576279254957626e-07, -1.1920935776288388e-06, 0, -0.0006456670816987753, -5.960466182841628e-07, -0.0002348102570977062, 0, 0, 0, 0, 0]",0.8771027992078427,CORRECT
14014,56722,Sierra Leone,capital,Freetown,22615,422,1213549,"[""Republic of Sierra Leone"",""sl"",""\ud83c\uddf8\ud83c\uddf1"",""SLE""]",[],http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q3780,Sierra Leone,Freetown,85082,15648,What is the capital of Sierra Leone?,"[""Freetown""]",Freetown.,"[0, 0, 0, -0.2332945168018341, -2.824800491333008, -0.01489870622754097, -1.3638263940811157, -0.3436678349971771, -0.39848998188972473, 0, 0, -0.0009498933795839548, -3.576279254957626e-07, 0, 0, 0, -0.003185692010447383, 0, -8.344653679159819e-07, 0, 0, 0, 0, 0, 0, -0.5538071393966675, 0, 0, -0.00027070133364759386, 0]",0.8259345454055461,CORRECT
2816,5215769,Mother Mary Alphonsa,father,Nathaniel Hawthorne,2309613,257,2315556,"[""Rose Hawthorne Lathrop"",""Rose Hawthorne""]","[""Nathaniel Hathorne"",""Monsieur de l'Aub\u00e9pine"",""N. H.""]",http://www.wikidata.org/entity/Q6917390,http://www.wikidata.org/entity/Q69339,Mother Mary Alphonsa,Nathaniel Hawthorne,1332,45978,Who is the father of Mother Mary Alphonsa?,"[""Nathaniel Hawthorne"", ""Nathaniel Hathorne"", ""Monsieur de l'Aubépine"", ""N. H.""]",Her father was,"[0, 0, 0, -1.3779066801071167, -0.00011552047362783924, -0.0012341005494818091, -0.07953464984893799, -0.33569255471229553, -5.4241696489043534e-05, 0, -0.006722944788634777, -0.0004504145181272179, -0.5106215476989746, -0.8817527294158936, 0, -0.356539249420166, -0.00039483950240537524, -0.2148444503545761, -7.629423635080457e-06, -0.055914733558893204, -0.0034933837596327066, -0.001660771667957306, 0, -1.1920930376163597e-07, -1.1920930376163597e-07, -0.18331126868724823, -0.0016770708607509732, -0.32745280861854553, -0.04010050371289253, -0.0760812759399414, -0.4524278938770294, -2.3841860752327193e-07, -3.26041579246521, -0.020654385909438133, -0.2172805368900299, -0.003581073833629489, -0.6804185509681702, -0.23238550126552582, -2.0265599687263602e-06, -9.895401000976562, -0.307451069355011, -0.1859816610813141, -4.410652160644531, -0.009584133513271809, -6.48519562673755e-05, -0.028905564919114113, -0.0001487842673668638, -3.337865791763761e-06, -3.4144458770751953, -0.00023552568745799363, -8.452295878669247e-05, 0, -0.6401028633117676, -0.2219204604625702, -0.7562231421470642, -0.13729259371757507, -1.118398666381836, -0.007556064985692501, -2.2774970531463623, -0.11093278229236603, -0.03940083459019661, -0.19956064224243164, -0.13189657032489777, -1.6343255043029785, -0.0012978388695046306, -0.9257775545120239, -0.07890011370182037, -0.63978511095047, -1.3828373084834311e-05, -0.00010359824227634817, -0.013669934123754501, -0.08330132067203522, -0.894322395324707, -3.6244733333587646, -1.705298900604248, -4.9898295402526855, -2.877335786819458, -0.28291404247283936, -0.18901245296001434, -0.30068108439445496, -0.00018294338951818645, -0.20480971038341522, -0.10024743527173996, -0.00013256951933726668, -2.253788948059082, -0.03680127114057541, -0.025226760655641556, -0.33399683237075806, -4.768372718899627e-07, -0.03778443858027458, -1.8596821973915212e-05, 0, 0, 0, 0, 0, 0, -0.00027248996775597334, -1.1920930376163597e-07, -1.1920930376163597e-07]",0.580127281745772,NOT_ATTEMPTED
