Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time humans were on the Moon was during NASA’s Apollo 17 mission, with the final moonwalk on December 14, 1972.",0.8032533526420593,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"Bobby Scott and Bob Russell wrote the lyrics to ""He Ain't Heavy, He's My Brother.""",0.778091549873352,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is 1 season of The Bastard Executioner.,0.8463557958602905,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",0.8579797744750977,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,The LSU Tigers won last year’s NCAA women’s basketball national championship (2023).,0.7576127648353577,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"Around 8,000–6,000 BCE, when post–Ice Age sea-level rise flooded the Solent, separating it from mainland Britain and making it an island.",0.6358471512794495,INCORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"“Love Yourself” by Justin Bieber is widely believed to be about his ex-girlfriend Selena Gomez, though neither artist has officially confirmed it.",0.7687026858329773,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,King James I was the ruler of England in 1616.,0.8577760457992554,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""Hot Coffee"" mod in Grand Theft Auto: San Andreas is an unofficial modification that unlocks a hidden, disabled mini-game enabling explicit sexual content during dates, which sparked controversy and led to the game’s rating being temporarily changed.",0.6451774835586548,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,54 Mbps.,0.7267807722091675,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is located in the center of India.,0.7946183085441589,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,The song “I Ran All the Way Home” was sung by The Impalas.,0.8698824644088745,CORRECT
